w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,Lmr2_uH
4.4,1,5.8,4.4,12.8,53.2,0,0.51,14,31,0.14,0.09,2,27,0.105,0.1,0.1,0.34,0.6,2.9,2.9,3.6,12,6,2.9,0.2,4.5,0.8,0.18,1.4,1.05025702955164
4.4,2.2,4.6,3.2,3.2,23.2,0,0.51,14,10,0.105,0.07,2,6,0.14,0.1,0.1,0.23,0.4,0.3,1.8,3.3,25,16,3.6,1.8,1,1.7,0.22,1.1,1.05525004838353
4.4,2.2,2.2,3.2,9.2,19.6,0,0.5,14,24,0.105,0.05,2,34,0.105,0.02,0.1,0.45,0.9,0.9,4.2,2.4,10,19,2.7,1.4,0.8,3.6,0.81,2.3,1.08983321100099
5.6,1,5.8,4.4,17.6,19.6,0,0.51,14,30,0.175,0.08,2,25,0.14,0.06,0.1,0.42,2.1,2.6,4.8,1.5,12,29,3.8,3.2,0.3,2.1,2.06,1.3,1.19693028990989
4.4,2.2,5.8,4.4,11.6,46,0,0.5,14,23,0.07,0.03,2,31,0.105,0.1,0.1,0.08,1.3,3,4.7,4.1,8,19,5,2.2,0.6,3.1,0.25,1.6,1.20238049013312
4.4,2.2,10.6,4.4,9.2,41.2,0,0.5,14,26,0.105,0.01,2,15,0.175,0.07,0.1,0.41,1.1,2.4,2.6,4.7,7,15,3.6,0.3,4.2,3.9,0.1,1.2,1.22055087891252
3.2,2.2,2.2,6.8,9.2,8.8,0,0.51,14,21,0.035,0.01,2,20,0.105,0.06,0.1,0.26,1,1.5,4.1,4.8,0,15,3,2,4.2,2.7,0.43,3.8,1.22355814977692
4.4,5.8,7,3.2,10.4,14.8,0,0.51,14,26,0.175,0.05,2,20,0.175,0.02,0.1,0.34,1,1.5,2.2,1.2,13,21,2.3,3.2,1.4,0.1,0.41,1.1,1.32115313474159
3.2,1,13,14,6.8,10,0,0.5,14,20,0.14,0.1,2,14,0.14,0.08,0.1,0.4,0.6,0.7,2.5,2.3,13,3,4.1,2.4,4.6,3.5,0.57,1.9,1.35837470605291
5.6,1,4.6,5.6,5.6,28,0,0.51,14,26,0.07,0.06,2,28,0.035,0.01,0.1,0.24,0.4,1,1.9,3.4,17,28,0.7,2.8,1,1.1,0.16,1.3,1.38315474103524
4.4,1,8.2,8,15.2,41.2,0,0.51,14,25,0.07,0.04,2,17,0.14,0.02,0.1,0.28,1,2.6,3.9,2.8,19,11,0.8,2.7,4.4,4.9,0.55,1.3,1.38727561666567
4.4,10.6,5.8,3.2,6.8,26.8,0,0.51,14,30,0.105,0.08,2,33,0.14,0.05,0.1,0.5,0.8,1.5,2.7,1.7,24,29,5,0.8,3,4.9,0.56,1.3,1.42364538851542
3.2,2.2,1,14,5.6,23.2,0,0.5,14,11,0.105,0.09,2,14,0.175,0.09,0.1,0.5,0.6,0.6,1.4,5,30,12,4,2.4,4.3,0.9,0.55,1.1,1.51343245266029
3.2,3.4,4.6,8,5.6,47.2,0,0.51,14,19,0.175,0.05,2,24,0.14,0.03,0.1,0.36,0.4,1.5,2.2,4.6,16,6,1.6,4.7,2.1,4.6,0.27,2,1.51923454215059
4.4,2.2,3.4,6.8,8,46,0,0.51,14,30,0.14,0.04,2,9,0.035,0.01,0.1,0.11,0.7,4,4,4.4,1,7,4,2.5,4.1,2.7,0.66,1.5,1.52210653818719
5.6,1,1,11.6,9.2,40,0,0.51,14,33,0.175,0.05,2,15,0.14,0.07,0.1,0.41,1.1,3.5,3.2,2.3,18,12,2.5,0.5,1.9,1.2,1.09,1.3,1.53662544502513
3.2,2.2,3.4,12.8,3.2,40,0,0.51,14,27,0.14,0.07,2,14,0.14,0.01,0.1,0.32,0.4,0.2,1.3,1.6,6,1,2.6,4.7,3.5,4,0.18,1.1,1.54097771043342
5.6,7,11.8,3.2,14,43.6,0,0.51,14,32,0.035,0.02,2,35,0.07,0.05,0.1,0.22,1.7,2.7,4.8,4.6,10,25,1.9,1.1,0.8,0.6,1.54,2.2,1.57279492732923
6.8,1,1,6.8,15.2,30.4,0,0.51,14,30,0.07,0.07,2,29,0.035,0.01,0.1,0.13,1.3,3.6,4.7,4.5,7,19,2.1,2.7,3.5,4.4,0.35,2.4,1.59652466595444
4.4,1,13,12.8,12.8,17.2,0,0.51,14,29,0.14,0.08,2,24,0.105,0.08,0.1,0.46,1.2,2.9,4.5,3.8,6,18,4,1.3,2.8,2.3,0.48,1,1.67581905969812
8,1,5.8,4.4,5.6,18.4,0,0.5,14,16,0.14,0.08,2,29,0.105,0.06,0.1,0.19,0.5,2,2.6,2.7,22,14,1.1,0.9,2.6,3.1,0.28,2.5,1.68591850867554
4.4,1,3.4,15.2,11.6,26.8,0,0.51,14,14,0.07,0.07,2,22,0.14,0.1,0.1,0.48,1.4,0.5,2.2,1.7,1,16,3.9,3.8,3,4.1,0.4,1.5,1.69409648697979
5.6,8.2,13,3.2,9.2,31.6,0,0.5,14,24,0.105,0.07,2,35,0.14,0.08,0.1,0.32,0.8,2.5,4.2,4.4,30,8,2,1.5,1.9,0.7,0.56,3.7,1.71422585435321
5.6,1,8.2,10.4,8,29.2,0,0.5,14,35,0.175,0.05,2,14,0.175,0.02,0.1,0.19,0.6,3.3,2.8,3.5,26,18,3.8,2,0.7,0.4,0.41,2.3,1.71747941338888
5.6,1,13,10.4,8,40,0,0.5,14,34,0.07,0.07,2,27,0.105,0.08,0.1,0.21,1,3.1,2.4,3.7,2,23,4.9,0.7,2.5,4.4,0.54,1.1,1.74109344480926
5.6,1,11.8,10.4,8,20.8,0,0.5,14,11,0.175,0.1,2,32,0.14,0.1,0.1,0.43,0.4,1.5,4.4,4.3,27,9,2.6,2.6,3.7,3.4,0.13,1,1.75090076700352
6.8,1,1,11.6,6.8,30.4,0,0.51,14,30,0.07,0.05,2,23,0.14,0.1,0.1,0.3,0.9,3.7,4,1.9,22,26,1,2,2.3,2.9,0.27,1.7,1.76196110166382
5.6,3.4,8.2,4.4,14,32.8,0,0.5,14,28,0.07,0.01,2,27,0.14,0.02,0.1,0.17,1.3,3.7,4.9,4.7,21,24,3.7,1.7,4.6,1.9,0.69,4.3,1.7623790444454
5.6,9.4,13,3.2,10.4,24.4,0,0.51,14,33,0.07,0.02,2,25,0.14,0.08,0.1,0.3,1.2,2,4.7,4.6,14,26,2.4,2.7,4,1.6,0.2,3.6,1.78173145293627
8,1,3.4,4.4,11.6,5.2,0,0.51,14,21,0.035,0.01,2,33,0.14,0.08,0.1,0.47,1.4,1.5,3.2,4.9,26,14,1.1,2.6,3.5,3.1,0.84,2.8,1.78438192201215
6.8,4.6,3.4,3.2,4.4,34,0,0.51,14,34,0.14,0.02,2,6,0.14,0.08,0.1,0.26,0.2,1.3,2,2.9,30,11,0.9,3.5,1.5,3.7,0.12,1.4,1.79003970435079
4.4,1,5.8,18.8,10.4,41.2,0,0.51,14,27,0.14,0.03,2,10,0.07,0.02,0.1,0.42,0.7,1.6,2.6,2.3,13,17,0.6,4.8,1.4,4.5,0.49,1.7,1.80180675070161
6.8,4.6,8.2,3.2,14,32.8,0,0.5,14,27,0.07,0.07,2,23,0.07,0.04,0.1,0.41,1.5,2.4,3.3,3.9,14,15,0.8,0.1,0.7,2.7,0.31,2.9,1.81888167002009
4.4,2.2,7,9.2,10.4,26.8,0,0.5,14,33,0.14,0.07,2,6,0.105,0.01,0.1,0.12,0.8,4.5,4.3,3.9,5,0,3.5,1.6,2.6,3.6,0.18,1.4,1.82059141262778
5.6,2.2,7,5.6,11.6,25.6,0,0.5,14,28,0.14,0.05,2,11,0.07,0.03,0.1,0.12,0.8,3.2,3.9,4.5,16,5,0.3,0.5,4.2,3.9,0.35,2,1.84414955129334
4.4,9.4,13,4.4,8,25.6,0,0.51,14,16,0.105,0.03,2,18,0.175,0.03,0.1,0.4,0.8,0.7,3.7,2.7,14,24,0.9,1.5,1.9,3.1,0.61,2.4,1.85219872704
6.8,2.2,4.6,4.4,23.6,25.6,0,0.51,14,28,0.175,0.06,2,14,0.14,0.01,0.1,0.14,2.5,1.8,4.4,3.2,10,6,3.9,2.4,0.1,2.1,1.03,2.7,1.85435262409848
10.4,1,8.2,3.2,12.8,30.4,0,0.51,14,31,0.105,0.02,2,29,0.14,0.1,0.1,0.45,1.4,3.5,4.8,4.9,23,20,3.6,0.5,0.1,4.7,0.15,3.2,1.85684043591288
6.8,3.4,10.6,3.2,15.2,24.4,0,0.5,14,31,0.175,0.1,2,19,0.14,0.03,0.1,0.12,1.2,1.6,4.5,2.7,10,9,4.2,2.9,4,3.9,0.99,2.3,1.87379689707298
6.8,1,2.2,10.4,14,49.6,0,0.51,14,27,0.035,0.03,2,18,0.105,0.1,0.1,0.3,1.4,0.2,3.9,4,24,21,5,1.1,1.7,0.8,0.1,1.2,1.8852887732962
8,1,4.6,5.6,8,12.4,0,0.5,14,32,0.105,0.04,2,20,0.175,0.09,0.1,0.28,0.5,3.6,3.9,4.2,14,0,1.8,2.6,1,3,0.29,1.1,1.90028933486343
5.6,11.8,4.6,3.2,4.4,7.6,0,0.5,14,11,0.175,0.08,2,10,0.175,0.01,0.1,0.35,0.5,1.3,1.2,4.8,5,27,3.7,3.9,2.6,2.4,0.49,1,1.92980708705557
5.6,13,7,3.2,5.6,8.8,0,0.5,14,7,0.105,0.09,2,23,0.105,0.1,0.1,0.4,0.4,0.8,3.1,2.7,16,4,2.9,4.5,2.6,1,0.11,1.8,1.93405610861846
5.6,2.2,9.4,5.6,5.6,4,0,0.5,14,33,0.105,0.03,2,22,0.14,0.02,0.1,0.38,0.4,2.3,2.3,4.1,17,9,0.2,0.9,1.9,3.7,0.31,1.4,1.93680377400632
6.8,7,9.4,3.2,4.4,44.8,0,0.5,14,35,0.14,0.06,2,29,0.105,0.02,0.1,0.32,0.3,1.4,1.5,3.5,12,4,0.1,0.8,3.6,4.6,0.13,1.4,1.95350619185058
3.2,3.4,9.4,12.8,5.6,43.6,0,0.5,14,16,0.175,0.07,2,32,0.14,0.07,0.1,0.29,0.7,0.6,2.5,1.5,10,3,2.9,4.2,1.1,1.1,0.25,1.4,1.96775127723673
5.6,2.2,4.6,6.8,20,34,0,0.51,14,32,0.14,0.04,2,24,0.14,0.1,0.1,0.25,2,2.5,5,4.8,28,7,0.7,2.1,2.7,2.7,1.12,4.3,1.97094275995984
12.8,1,10.6,2,10.4,12.4,0,0.5,14,14,0.035,0.02,2,26,0.175,0.06,0.1,0.48,0.9,1.1,4.4,4.2,4,15,4.5,1.4,2,0.5,0.69,1.4,1.99333758838128
4.4,3.4,7,9.2,6.8,44.8,0,0.5,14,28,0.035,0.02,2,13,0.07,0.03,0.1,0.1,0.6,2.4,4.9,1.5,20,8,3.1,1.2,4.9,2.1,0.47,1.3,2.00094742233971
4.4,2.2,9.4,10.4,14,53.2,0,0.51,14,35,0.175,0.02,2,10,0.14,0.03,0.1,0.1,1.3,2,3.7,5,4,17,1.5,3.2,1.6,3.4,0.79,1.7,2.01117478428945
8,1,4.6,6.8,6.8,5.2,0,0.51,14,9,0.14,0.08,2,34,0.175,0.03,0.1,0.08,0.7,1.1,4.6,4.3,14,5,2.1,2.1,0.9,1.5,0.47,1.3,2.03058630192843
6.8,1,2.2,14,9.2,18.4,0,0.5,14,19,0.14,0.06,2,21,0.035,0.01,0.1,0.16,0.7,1.1,4.8,4.1,2,4,0.6,2.2,1.2,4.4,0.15,3.8,2.03529613317222
8,5.8,1,3.2,12.8,34,0,0.51,14,35,0.105,0.04,2,4,0.175,0.05,0.1,0.12,1.3,1.2,5,2.1,16,26,1.8,0.4,2.5,3.6,0.17,1.7,2.05233872842015
14,1,10.6,2,9.2,14.8,0,0.5,14,30,0.105,0.09,2,18,0.105,0.04,0.1,0.08,0.9,2.2,3.7,4.3,28,20,0.2,3.8,2.9,1.1,0.45,2.3,2.07378069487503
8,1,4.6,6.8,8,7.6,0,0.51,14,11,0.105,0.03,2,24,0.175,0.01,0.1,0.28,0.9,0.8,2.1,1.8,12,4,0.1,4.3,2.9,2.9,0.31,1.1,2.07425899789448
6.8,1,8.2,9.2,9.2,52,0,0.5,14,11,0.14,0.07,2,8,0.175,0.01,0.1,0.38,0.8,0.5,3.3,4.9,29,13,3.2,3.9,2.8,4.8,0.25,1.1,2.07898308457546
8,1,9.4,6.8,18.8,32.8,0,0.51,14,29,0.175,0.01,2,19,0.07,0.01,0.1,0.43,2.1,2.3,3.8,3.2,6,0,3.7,2.3,4.7,4.4,0.2,2,2.08552313542324
5.6,8.2,9.4,4.4,16.4,35.2,0,0.5,14,23,0.14,0.06,2,9,0.105,0.05,0.1,0.02,1.4,2.8,3.8,3.6,27,29,1.4,0.9,3.6,1,0.42,1.7,2.10123899368336
16.4,1,4.6,2,9.2,53.2,0,0.51,14,21,0.105,0.02,2,25,0.07,0.06,0.1,0.1,0.9,2,4.5,4.4,6,11,3.5,1.4,3.4,0.6,0.22,2.3,2.11300136939713
6.8,2.2,3.4,5.6,23.6,35.2,0,0.51,14,31,0.14,0.1,2,34,0.14,0.03,0.1,0.24,2.7,1.6,4.9,3.2,8,19,1.3,1.5,4.9,4.9,0.75,2.6,2.14221579648616
6.8,3.4,5.8,4.4,6.8,13.6,0,0.5,14,33,0.175,0.1,2,33,0.07,0.02,0.1,0.22,0.3,2.6,3.8,3.8,7,1,4.5,1,2,4.7,0.14,2.2,2.14995123225793
8,1,3.4,8,8,17.2,0,0.5,14,27,0.14,0.07,2,23,0.07,0.03,0.1,0.39,0.9,0.8,3.1,1.8,3,6,0.5,3.9,1,0.9,0.17,1.1,2.15092255349971
3.2,4.6,7,12.8,4.4,36.4,0,0.5,14,25,0.175,0.09,2,28,0.14,0.05,0.1,0.24,0.5,2.2,2.4,3.1,1,15,3.2,4.5,0.4,0.2,0.39,1,2.16141238652483
5.6,9.4,11.8,4.4,3.2,31.6,0,0.51,14,30,0.07,0.04,2,27,0.035,0.01,0.1,0.02,0.3,2.2,1.5,1.5,9,0,2.4,0.1,1.2,3.2,0.14,1.2,2.17006427332136
5.6,3.4,10.6,5.6,16.4,29.2,0,0.51,14,29,0.07,0.06,2,26,0.035,0.03,0.1,0.3,0.8,2,3.6,4.8,18,15,1.4,4.1,4.3,1.3,0.43,3.5,2.19049942119872
4.4,3.4,4.6,9.2,9.2,16,0,0.5,14,27,0.175,0.03,2,17,0.035,0.01,0.1,0.1,0.8,2.9,4.1,3.6,9,15,4.5,2.5,1.1,0.6,0.17,2.6,2.19885719803325
6.8,2.2,11.8,5.6,24.8,22,0,0.5,14,28,0.14,0.05,2,11,0.14,0.02,0.1,0.25,3.1,2.2,4.7,4.3,21,28,4,3.8,1.5,3,2,3.7,2.20184941051833
6.8,1,1,23.6,8,35.2,0,0.51,14,20,0.175,0.04,2,19,0.175,0.08,0.1,0.2,0.9,2.5,2.9,4.1,8,16,1.3,5,0.2,3.9,0.37,2.5,2.22903170425105
9.2,1,5.8,5.6,14,5.2,0,0.5,14,31,0.035,0.03,2,9,0.035,0.03,0.1,0.13,1.7,3,4.8,3.5,30,1,1.8,3.8,3.1,0.2,1.08,3.3,2.230556017432
5.6,5.8,9.4,4.4,12.8,10,0,0.5,14,22,0.175,0.08,2,33,0.175,0.1,0.1,0.26,1,1,4.5,2.2,8,1,0.1,3.7,4.4,0.1,0.25,1.7,2.23868870947066
4.4,11.8,9.4,5.6,5.6,34,0,0.51,14,28,0.07,0.01,2,24,0.14,0.05,0.1,0.43,0.5,0.5,3.6,4.2,4,8,1,2,2.3,3.4,0.34,1,2.24246131499672
6.8,3.4,10.6,4.4,10.4,29.2,0,0.5,14,24,0.07,0.03,2,16,0.14,0.01,0.1,0.5,0.6,0.4,3.4,2.4,9,30,4.7,4.8,4.5,1.9,0.37,1.2,2.28368580949554
6.8,1,5.8,22.4,6.8,17.2,0,0.51,14,20,0.105,0.08,2,30,0.14,0.01,0.1,0.44,0.6,2.4,4.8,2.6,13,26,2.4,0.3,4.7,4.9,0.23,1.5,2.28396812939686
6.8,1,4.6,16.4,10.4,28,0,0.51,14,9,0.105,0.01,2,33,0.105,0.04,0.1,0.3,1.4,0.8,5,1.9,2,18,3.2,3.8,0.4,2.9,0.21,1.6,2.28759413748254
3.2,4.6,5.8,14,3.2,18.4,0,0.51,14,22,0.14,0.07,2,8,0.105,0.09,0.1,0.05,0.4,1.1,1.7,1.3,7,1,1.8,0.7,2.7,1.5,0.26,1,2.29825695586998
8,1,10.6,9.2,11.6,29.2,0,0.5,14,22,0.07,0.06,2,29,0.105,0.04,0.1,0.28,1.5,1.1,3.5,1.8,24,28,4.2,0.1,1.1,1.4,0.2,1.2,2.29986822483911
8,4.6,1,4.4,15.2,37.6,0,0.5,14,16,0.14,0.05,2,26,0.14,0.02,0.1,0.4,1.9,1.7,3.2,4.9,4,4,2.8,4.5,4.6,3,0.2,1.9,2.32873278831958
8,1,2.2,15.2,12.8,12.4,0,0.51,14,33,0.14,0.05,2,34,0.14,0.01,0.1,0.48,1.5,4.1,4.3,4.8,12,27,1.4,0.4,1,2.3,0.31,3.4,2.34941395576646
5.6,8.2,8.2,5.6,10.4,53.2,0,0.5,14,23,0.035,0.02,2,34,0.105,0.07,0.1,0.3,1.1,2.9,2.9,3,10,13,2.2,0.5,1.3,4.9,0.28,1.2,2.36348403802876
9.2,1,1,10.4,9.2,7.6,0,0.5,14,32,0.07,0.04,2,32,0.105,0.03,0.1,0.12,0.9,1.7,4.3,2,9,14,1.2,0.3,2.4,3.2,0.31,1,2.3906573245943
22.4,10.6,8.2,17.6,21.2,24.4,0,0.5,14,30,0.035,0.03,2,15,0.105,0.03,0.1,0.47,2,2.2,3.9,4.6,25,5,2,2,1.5,0.8,0.41,3.6,2.3906573245943
6.8,2.2,4.6,6.8,23.6,22,0,0.51,14,24,0.175,0.05,2,24,0.14,0.05,0.1,0.37,2.2,0.3,5,3.4,26,11,1.8,2,3.8,1.8,0.26,3.1,2.40211518138258
6.8,1,5.8,20,10.4,36.4,0,0.51,14,35,0.07,0.05,2,8,0.14,0.07,0.1,0.23,0.8,2.6,3.9,4.7,8,11,3.9,2.9,3,1.8,0.66,2.8,2.40943703822466
4.4,2.2,13,16.4,4.4,7.6,0,0.51,14,34,0.175,0.01,2,35,0.14,0.1,0.1,0.31,0.4,1.5,1.7,4,15,17,4.4,3.4,4.5,1.3,0.17,1.2,2.41134009887685
8,2.2,9.4,4.4,17.6,19.6,0,0.51,14,30,0.105,0.1,2,10,0.07,0.05,0.1,0.5,1,2.4,3.4,2.8,9,12,1.5,3.5,4.4,3,0.63,2.3,2.41191053984382
5.6,13,7,4.4,5.6,18.4,0,0.51,14,19,0.14,0.04,2,12,0.14,0.09,0.1,0.17,0.3,1.1,2.1,2.2,16,9,4.3,1.7,3.2,1.8,0.14,1.7,2.4130306194574
8,3.4,10.6,4.4,14,48.4,0,0.5,14,35,0.07,0.02,2,10,0.105,0.05,0.1,0.4,1.1,1.7,3.1,2.8,5,6,1.6,1.8,4,4.2,0.48,2.1,2.44295380208736
5.6,3.4,8.2,6.8,11.6,5.2,0,0.51,14,34,0.14,0.08,2,24,0.035,0.03,0.1,0.08,0.9,3.9,3.5,2.9,2,16,4.5,2.7,2.8,1.5,0.68,1.5,2.44366237107028
5.6,7,2.2,5.6,11.6,13.6,0,0.51,14,21,0.07,0.01,2,20,0.175,0.02,0.1,0.48,1.1,2.7,2.8,3,27,17,4,0.7,0.8,0.4,0.54,1.2,2.47017432110656
8,1,5.8,10.4,14,12.4,0,0.5,14,11,0.175,0.08,2,21,0.14,0.08,0.1,0.17,1.4,0.6,4.9,4.5,0,18,3.9,0.6,4.9,0.6,0.18,1.7,2.4880287683957
5.6,2.2,1,15.2,4.4,31.6,0,0.5,14,19,0.175,0.06,2,23,0.07,0.04,0.1,0.07,0.4,0.8,2.6,4,0,17,3.4,1.2,3.6,0.7,0.2,1.3,2.50430828608928
4.4,2.2,10.6,20,6.8,24.4,0,0.51,14,10,0.175,0.07,2,12,0.175,0.06,0.1,0.45,0.8,0.5,4.1,2,4,20,0.7,1.5,2.8,0.3,0.1,1.9,2.5559261218366
14,1,7,3.2,16.4,6.4,0,0.5,14,30,0.175,0.01,2,8,0.105,0.04,0.1,0.1,2.1,2.1,3.6,2.8,29,9,4.9,0.6,2.8,0.9,0.9,2.7,2.55761014862441
14,1,8.2,3.2,15.2,38.8,0,0.51,14,25,0.07,0.07,2,16,0.105,0.02,0.1,0.39,1.6,1.2,4.9,4.1,15,23,0.9,3.9,2.8,3.3,1,3.5,2.57461455710401
4.4,3.4,2.2,15.2,9.2,19.6,0,0.5,14,29,0.175,0.1,2,33,0.105,0.02,0.1,0.41,0.5,2,4.6,4.2,28,9,5,1.1,4.5,1.2,0.35,2.6,2.59532971047939
6.8,8.2,11.8,4.4,14,41.2,0,0.5,14,32,0.105,0.09,2,31,0.105,0.09,0.1,0.29,1.4,0.9,4.6,4.8,22,26,2.3,0.2,0.1,1,0.66,1.4,2.60269860366947
5.6,10.6,7,5.6,10.4,53.2,0,0.5,14,31,0.035,0.01,2,8,0.14,0.02,0.1,0.46,0.6,1.3,5,4.6,22,29,0.5,0.4,1,1.7,0.35,1,2.60400056407524
10.4,1,2.2,8,9.2,43.6,0,0.5,14,21,0.175,0.06,2,16,0.175,0.04,0.1,0.14,1.1,0.7,3.4,1.7,19,7,2.4,0.9,1.6,1.9,0.58,1,2.61146351999882
9.2,4.6,9.4,3.2,5.6,17.2,0,0.5,14,14,0.175,0.04,2,8,0.035,0.03,0.1,0.03,0.5,0.7,4.1,4.3,4,24,3.8,5,1.2,0.6,0.28,1.1,2.61303896369245
15.2,2.2,11.8,2,9.2,18.4,0,0.5,14,29,0.175,0.02,2,25,0.175,0.06,0.1,0.39,1.1,0.8,2.3,3.7,24,19,4.8,3.3,4.8,1.8,0.46,1.6,2.6207255506461
6.8,2.2,8.2,8,15.2,16,0,0.51,14,23,0.07,0.03,2,21,0.175,0.07,0.1,0.48,1,2.3,4.6,3,7,1,1.4,1.2,0.7,4.8,0.1,2.7,2.6268185764446
11.6,2.2,13,3.2,14,48.4,0,0.51,14,31,0.14,0.1,2,19,0.14,0.1,0.1,0.35,0.6,2.1,3.3,3.7,17,11,0.2,4.1,2.9,1.5,0.52,2.3,2.62769519145208
6.8,2.2,9.4,9.2,12.8,52,0,0.51,14,29,0.035,0.01,2,30,0.175,0.06,0.1,0.43,1.5,2.4,4.4,4.9,21,6,1.3,0.1,0.3,2.7,0.78,3.6,2.66113458942028
8,1,9.4,15.2,11.6,28,0,0.5,14,35,0.14,0.02,2,28,0.14,0.09,0.1,0.33,1,2.8,2.1,2.7,4,4,3,4.8,3.9,1.5,0.31,1.4,2.66789497975657
6.8,3.4,4.6,6.8,9.2,43.6,0,0.5,14,15,0.14,0.08,2,30,0.175,0.09,0.1,0.41,1.2,1.7,4.4,3.1,3,17,0.3,3.2,0.1,0.9,0.23,1.3,2.67332808086845
9.2,1,11.8,10.4,8,10,0,0.51,14,25,0.105,0.03,2,12,0.105,0.03,0.1,0.36,0.5,2.2,4.2,4.2,8,3,3.7,4.9,0.2,4.8,0.44,1.6,2.68650757234191
5.6,9.4,9.4,5.6,4.4,36.4,0,0.51,14,26,0.14,0.08,2,22,0.07,0.02,0.1,0.28,0.5,1.8,1.7,4,24,29,1.2,0.8,0.1,0.5,0.15,1.3,2.69703419179588
8,1,5.8,22.4,6.8,20.8,0,0.51,14,34,0.14,0.01,2,25,0.175,0.05,0.1,0.46,0.8,1,3.8,3.1,3,29,2.3,4.1,4.9,1.5,0.18,2.6,2.70106085188064
5.6,13,11.8,5.6,4.4,43.6,0,0.5,14,33,0.105,0.1,2,13,0.07,0.03,0.1,0.45,0.2,0.3,2.6,4.6,27,27,4.6,1.5,1.7,3,0.1,1.3,2.70479200299852
6.8,9.4,8.2,4.4,12.8,35.2,0,0.5,14,30,0.14,0.09,2,27,0.105,0.03,0.1,0.48,1.6,1,4.9,5,27,7,2.4,3.9,4.2,0.6,0.42,3.2,2.70840564449582
8,2.2,7,6.8,17.6,50.8,0,0.51,14,28,0.105,0.05,2,21,0.035,0.02,0.1,0.39,2,1.6,4.5,4.3,6,10,4.3,1.4,0.7,4.2,0.75,1.3,2.72653569437998
8,3.4,13,4.4,17.6,12.4,0,0.51,14,18,0.175,0.01,2,20,0.105,0.03,0.1,0.39,1.8,0.8,4.5,4,3,18,4.6,3.9,4.3,1.4,0.55,2.6,2.73973841532793
5.6,2.2,11.8,15.2,8,50.8,0,0.5,14,30,0.175,0.03,2,34,0.07,0.02,0.1,0.1,0.6,3.8,2.5,3.9,19,11,1.8,3.3,2,2.7,0.21,2.2,2.73976301344074
