w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,P1_Rx1_W
11.6,9.4,7.0,21.2,4.4,41.2,0.0,0.51,14.0,16.0,0.105,0.08,2.0,22.0,0.14,0.05,0.1,0.46,0.4,1.0,1.3,3.6,6.0,19.0,0.2,2.6,2.5,2.5,0.16,1.2,3.8568940738498
28.4,8.2,5.8,14.0,17.6,35.2,0.0,0.51,14.0,28.0,0.105,0.1,2.0,27.0,0.105,0.05,0.1,0.1,2.3,1.1,3.8,4.5,18.0,9.0,3.5,2.7,0.2,1.0,0.11,3.3,3.21501557517522
15.2,2.2,7.0,11.6,24.8,49.6,0.0,0.51,14.0,29.0,0.07,0.03,2.0,33.0,0.14,0.04,0.1,0.07,3.1,2.5,5.0,3.5,19.0,21.0,1.0,3.9,1.1,4.2,0.28,3.0,1.95589801527198
30.8,9.4,7.0,16.4,16.4,52.0,0.0,0.5,14.0,19.0,0.105,0.1,2.0,16.0,0.14,0.01,0.1,0.24,1.4,1.8,5.0,3.5,19.0,17.0,1.8,2.3,0.2,4.2,0.11,2.8,2.74573568287056
32.0,9.4,11.8,12.8,17.6,6.4,0.0,0.51,14.0,10.0,0.14,0.09,2.0,20.0,0.105,0.07,0.1,0.0,2.4,0.8,4.9,3.2,28.0,17.0,4.3,2.2,1.4,0.3,0.21,2.2,5.01992845996569
14.0,1.0,13.0,8.0,17.6,46.0,0.0,0.5,14.0,30.0,0.105,0.02,2.0,4.0,0.14,0.07,0.1,0.33,2.2,1.7,4.9,2.1,12.0,17.0,4.4,0.7,4.6,5.0,0.18,1.3,3.32669197386357
14.0,8.2,3.4,8.0,10.4,14.8,0.0,0.5,14.0,32.0,0.14,0.07,2.0,25.0,0.105,0.03,0.1,0.46,0.8,0.5,4.5,2.4,23.0,25.0,5.0,3.8,2.5,2.5,0.26,2.3,3.98342374889812
6.8,13.0,3.4,21.2,4.4,50.8,0.0,0.5,14.0,35.0,0.175,0.03,2.0,30.0,0.105,0.01,0.1,0.26,0.4,0.2,1.7,2.3,1.0,11.0,3.1,1.8,1.9,1.8,0.19,1.4,4.30014759826348
50.0,13.0,2.2,26.0,11.6,36.4,0.0,0.5,14.0,30.0,0.105,0.1,2.0,23.0,0.105,0.06,0.1,0.17,1.1,1.8,4.7,3.3,13.0,28.0,4.1,0.7,1.2,1.4,0.34,2.0,10.7738463352502
52.4,4.6,8.2,17.6,8.0,4.0,0.0,0.51,14.0,29.0,0.105,0.04,2.0,12.0,0.07,0.06,0.1,0.06,0.5,2.3,4.8,2.8,29.0,23.0,0.3,0.2,5.0,0.9,0.38,2.4,9.64717515836484
36.8,11.8,2.2,10.4,4.4,53.2,0.0,0.5,14.0,12.0,0.175,0.09,2.0,8.0,0.14,0.03,0.1,0.1,0.4,0.7,2.7,2.5,17.0,19.0,0.6,3.9,2.5,2.7,0.36,1.2,1.79156888154843
46.4,5.8,9.4,12.8,22.4,17.2,0.0,0.51,14.0,18.0,0.035,0.01,2.0,24.0,0.105,0.08,0.1,0.13,1.5,1.2,4.6,4.0,2.0,24.0,1.4,4.3,0.3,0.1,0.2,2.9,5.52224363225693
52.4,7.0,10.6,12.8,21.2,5.2,0.0,0.5,14.0,26.0,0.175,0.08,2.0,24.0,0.14,0.08,0.1,0.45,2.3,1.7,4.1,3.2,14.0,1.0,0.4,1.1,3.9,2.4,0.16,2.7,6.2721619283755
40.4,8.2,2.2,18.8,23.6,10.0,0.0,0.5,14.0,33.0,0.14,0.01,2.0,23.0,0.07,0.02,0.1,0.46,2.7,3.7,3.7,3.9,7.0,10.0,2.2,0.7,4.9,0.8,0.39,3.4,5.18820877970402
15.2,7.0,9.4,21.2,8.0,6.4,0.0,0.51,14.0,28.0,0.175,0.01,2.0,34.0,0.07,0.01,0.1,0.26,0.7,3.3,2.6,3.2,29.0,17.0,3.8,2.9,4.6,3.4,0.25,2.5,7.05196674628216
17.6,7.0,1.0,15.2,5.6,30.4,0.0,0.5,14.0,27.0,0.105,0.1,2.0,19.0,0.14,0.07,0.1,0.44,0.3,1.6,2.6,1.7,27.0,18.0,1.3,2.3,0.8,2.2,0.16,1.5,6.66539178279935
34.4,3.4,11.8,22.4,20.0,11.2,0.0,0.51,14.0,21.0,0.14,0.03,2.0,31.0,0.14,0.01,0.1,0.45,2.5,1.5,4.9,2.6,24.0,5.0,2.2,2.9,1.3,0.7,1.42,2.3,5.81630113099713
39.2,13.0,9.4,17.6,26.0,20.8,0.0,0.51,14.0,34.0,0.14,0.04,2.0,29.0,0.175,0.05,0.1,0.16,2.8,2.7,4.2,3.7,11.0,12.0,0.1,2.3,3.1,2.1,1.83,3.6,2.59554467200386
9.2,1.0,1.0,10.4,9.2,7.6,0.0,0.5,14.0,32.0,0.07,0.04,2.0,32.0,0.105,0.03,0.1,0.12,0.9,1.7,4.3,2.0,9.0,14.0,1.2,0.3,2.4,3.2,0.31,1.0,5.03315729183543
27.2,9.4,9.4,5.6,8.0,5.2,0.0,0.51,14.0,29.0,0.14,0.01,2.0,6.0,0.07,0.04,0.1,0.29,0.9,2.5,3.8,3.9,21.0,7.0,4.1,0.2,1.9,1.3,0.82,1.6,3.96338577835673
26.0,9.4,11.8,12.8,15.2,50.8,0.0,0.5,14.0,34.0,0.14,0.1,2.0,23.0,0.105,0.01,0.1,0.11,1.6,2.2,3.4,4.2,8.0,0.0,2.2,3.2,0.9,0.1,1.44,2.0,4.31261552773177
32.0,3.4,2.2,11.6,16.4,49.6,0.0,0.51,14.0,28.0,0.07,0.05,2.0,29.0,0.07,0.01,0.1,0.43,1.9,2.9,4.4,5.0,16.0,30.0,0.6,0.6,2.8,2.1,1.52,3.1,5.40507424290359
52.4,9.4,11.8,6.8,8.0,6.4,0.0,0.5,14.0,15.0,0.07,0.02,2.0,32.0,0.14,0.01,0.1,0.44,0.7,0.9,4.1,1.6,10.0,6.0,2.3,1.0,1.3,0.8,0.24,1.1,7.07187354777696
4.4,1.0,5.8,4.4,12.8,53.2,0.0,0.51,14.0,31.0,0.14,0.09,2.0,27.0,0.105,0.1,0.1,0.34,0.6,2.9,2.9,3.6,12.0,6.0,2.9,0.2,4.5,0.8,0.18,1.4,3.13604794851771
10.4,5.8,7.0,16.4,16.4,6.4,0.0,0.5,14.0,24.0,0.175,0.02,2.0,25.0,0.07,0.05,0.1,0.34,0.9,2.0,4.9,4.5,5.0,2.0,2.7,2.5,1.1,2.6,0.26,4.4,1.5215279257348
24.8,2.2,4.6,21.2,14.0,17.2,0.0,0.5,14.0,13.0,0.07,0.02,2.0,20.0,0.105,0.09,0.1,0.41,1.1,1.0,2.4,5.0,7.0,10.0,5.0,1.3,2.2,1.4,0.61,2.0,4.16226303322096
20.0,5.8,8.2,8.0,10.4,37.6,0.0,0.5,14.0,26.0,0.105,0.06,2.0,24.0,0.07,0.01,0.1,0.47,1.1,2.7,3.0,3.4,19.0,9.0,0.5,2.6,0.2,1.3,0.36,2.6,2.13250434460176
16.4,9.4,4.6,17.6,12.8,44.8,0.0,0.51,14.0,33.0,0.175,0.02,2.0,27.0,0.07,0.06,0.1,0.09,1.2,1.4,2.5,4.1,9.0,2.0,2.7,3.4,2.3,2.5,0.87,2.3,4.82175645640983
22.4,10.6,8.2,17.6,21.2,24.4,0.0,0.5,14.0,30.0,0.035,0.03,2.0,15.0,0.105,0.03,0.1,0.47,2.0,2.2,3.9,4.6,25.0,5.0,2.0,2.0,1.5,0.8,0.41,3.6,5.03315729183543
38.0,11.8,8.2,14.0,24.8,28.0,0.0,0.51,14.0,21.0,0.14,0.03,2.0,33.0,0.105,0.07,0.1,0.49,2.8,2.2,4.7,3.3,15.0,11.0,0.4,4.6,0.1,1.6,1.16,3.0,7.13149243393197
24.8,1.0,3.4,11.6,14.0,6.4,0.0,0.5,14.0,22.0,0.14,0.08,2.0,14.0,0.07,0.01,0.1,0.03,1.7,2.0,4.6,3.0,29.0,4.0,1.5,3.8,2.9,0.3,1.0,1.4,7.29598095924062
30.8,9.4,11.8,24.8,20.0,35.2,0.0,0.5,14.0,17.0,0.105,0.02,2.0,29.0,0.14,0.1,0.1,0.23,2.0,1.4,4.5,3.0,23.0,10.0,2.1,0.4,4.3,1.7,0.5,1.6,4.61571853705357
10.4,10.6,9.4,22.4,26.0,40.0,0.0,0.5,14.0,24.0,0.07,0.04,2.0,29.0,0.14,0.02,0.1,0.49,2.2,0.7,4.6,4.2,25.0,5.0,4.2,3.1,0.3,1.4,0.19,4.0,2.15629698425054
40.4,4.6,8.2,22.4,6.8,17.2,0.0,0.51,14.0,28.0,0.14,0.1,2.0,35.0,0.105,0.05,0.1,0.5,0.6,3.1,3.8,4.8,10.0,21.0,4.2,0.1,0.9,1.9,0.3,1.2,10.6346037859679
27.2,11.8,4.6,3.2,8.0,46.0,0.0,0.51,14.0,27.0,0.07,0.05,2.0,35.0,0.14,0.04,0.1,0.4,0.7,3.3,3.7,2.2,28.0,4.0,4.5,4.5,2.3,1.6,0.58,1.5,1.92521048286009
24.8,7.0,8.2,6.8,4.4,13.6,0.0,0.51,14.0,32.0,0.14,0.03,2.0,12.0,0.175,0.04,0.1,0.19,0.5,2.1,1.6,2.3,26.0,15.0,1.8,3.5,3.1,4.6,0.11,1.1,3.93024630756996
40.4,4.6,10.6,3.2,6.8,50.8,0.0,0.51,14.0,34.0,0.105,0.03,2.0,26.0,0.07,0.03,0.1,0.28,0.7,4.3,3.4,2.9,9.0,10.0,3.0,3.4,1.9,4.9,0.54,1.5,8.41356340791274
36.8,3.4,2.2,23.6,24.8,17.2,0.0,0.5,14.0,32.0,0.105,0.08,2.0,27.0,0.105,0.1,0.1,0.5,1.5,3.0,4.4,4.6,9.0,6.0,1.8,1.8,1.3,3.1,1.34,3.3,3.22206222231504
41.6,4.6,7.0,18.8,22.4,16.0,0.0,0.5,14.0,11.0,0.105,0.07,2.0,28.0,0.14,0.02,0.1,0.43,0.9,1.1,5.0,4.1,4.0,29.0,1.3,1.8,0.9,1.5,0.72,2.1,4.01157424564992
14.0,9.4,2.2,23.6,11.6,34.0,0.0,0.51,14.0,21.0,0.07,0.07,2.0,14.0,0.14,0.05,0.1,0.04,0.6,1.5,2.5,2.4,17.0,1.0,4.5,4.5,3.6,3.1,0.36,1.6,3.55543225037026
28.4,5.8,8.2,24.8,9.2,16.0,0.0,0.51,14.0,23.0,0.175,0.09,2.0,29.0,0.07,0.03,0.1,0.16,1.0,3.1,3.4,1.7,12.0,24.0,4.6,2.9,0.2,4.6,0.25,1.2,9.90939880179211
20.0,2.2,2.2,10.4,3.2,34.0,0.0,0.51,14.0,27.0,0.175,0.03,2.0,11.0,0.07,0.05,0.1,0.25,0.4,3.2,1.1,1.7,29.0,9.0,0.6,0.2,1.4,3.9,0.1,1.0,8.4614021257434
26.0,9.4,7.0,11.6,22.4,37.6,0.0,0.51,14.0,20.0,0.14,0.08,2.0,15.0,0.14,0.08,0.1,0.14,1.0,1.6,4.4,4.4,8.0,9.0,4.5,2.9,2.7,3.1,0.99,4.2,3.94812571170297
36.8,3.4,13.0,23.6,17.6,26.8,0.0,0.5,14.0,29.0,0.035,0.02,2.0,21.0,0.105,0.04,0.1,0.04,1.0,2.2,3.9,4.0,26.0,27.0,0.6,2.7,0.6,4.2,0.68,3.6,3.04795985691733
9.2,10.6,3.4,22.4,16.4,26.8,0.0,0.51,14.0,17.0,0.14,0.08,2.0,30.0,0.175,0.03,0.1,0.33,1.0,1.4,3.9,2.4,26.0,3.0,3.8,2.1,2.9,3.2,0.62,2.2,2.20573521094863
27.2,7.0,13.0,5.6,20.0,7.6,0.0,0.51,14.0,24.0,0.175,0.04,2.0,26.0,0.105,0.1,0.1,0.35,1.6,3.0,4.6,4.3,23.0,10.0,3.6,1.2,4.7,3.7,1.13,1.5,4.6522834634045
38.0,10.6,3.4,6.8,4.4,26.8,0.0,0.5,14.0,18.0,0.035,0.03,2.0,14.0,0.105,0.06,0.1,0.46,0.5,1.8,2.3,2.1,14.0,16.0,3.9,0.8,1.6,3.5,0.12,1.8,4.85779000926798
26.0,3.4,5.8,18.8,18.8,13.6,0.0,0.5,14.0,21.0,0.07,0.02,2.0,20.0,0.105,0.06,0.1,0.06,1.9,0.8,4.3,2.6,25.0,14.0,2.4,0.2,1.6,0.7,0.46,1.9,4.44769552286076
12.8,9.4,8.2,20.0,5.6,47.2,0.0,0.51,14.0,25.0,0.07,0.05,2.0,23.0,0.105,0.04,0.1,0.27,0.3,3.0,2.8,3.6,5.0,13.0,4.2,3.5,2.3,0.5,0.14,1.6,5.35452160512021
17.6,8.2,11.8,15.2,5.6,41.2,0.0,0.5,14.0,26.0,0.14,0.01,2.0,22.0,0.14,0.01,0.1,0.12,0.7,0.8,2.7,3.8,28.0,1.0,0.4,4.5,1.0,4.6,0.36,1.5,3.70016604485709
44.0,4.6,5.8,16.4,22.4,36.4,0.0,0.51,14.0,32.0,0.175,0.02,2.0,24.0,0.035,0.01,0.1,0.36,2.9,1.6,4.7,3.9,17.0,21.0,2.5,0.6,0.9,4.0,0.18,3.1,9.41146616956284
11.6,5.8,13.0,21.2,24.8,48.4,0.0,0.51,14.0,34.0,0.035,0.01,2.0,35.0,0.14,0.03,0.1,0.49,2.0,3.0,4.7,4.7,15.0,29.0,2.7,2.8,4.3,4.2,0.12,3.8,1.78635005220863
48.8,1.0,3.4,8.0,10.4,42.4,0.0,0.51,14.0,24.0,0.14,0.04,2.0,24.0,0.14,0.1,0.1,0.21,0.8,3.3,3.5,4.9,23.0,27.0,0.8,2.4,0.3,2.2,0.1,2.0,3.8956151588478
11.6,5.8,2.2,5.6,16.4,7.6,0.0,0.5,14.0,26.0,0.14,0.01,2.0,28.0,0.105,0.03,0.1,0.36,1.8,2.4,3.2,3.0,24.0,18.0,2.4,4.9,0.8,4.3,0.32,2.4,2.77614840606853
26.0,2.2,9.4,23.6,8.0,14.8,0.0,0.51,14.0,34.0,0.14,0.04,2.0,16.0,0.07,0.05,0.1,0.13,1.0,1.8,4.2,4.3,19.0,14.0,0.6,4.3,4.3,1.1,0.18,3.0,4.56690434833848
48.8,3.4,2.2,23.6,6.8,31.6,0.0,0.5,14.0,18.0,0.07,0.06,2.0,20.0,0.105,0.08,0.1,0.38,0.8,0.7,4.4,3.9,8.0,9.0,4.5,1.1,4.2,3.9,0.5,1.5,2.92793557248946
30.8,10.6,5.8,6.8,5.6,20.8,0.0,0.5,14.0,35.0,0.175,0.04,2.0,5.0,0.14,0.08,0.1,0.32,0.4,0.8,2.6,2.9,16.0,21.0,1.9,4.2,4.1,1.9,0.16,1.1,5.28143752970457
26.0,10.6,13.0,14.0,4.4,13.6,0.0,0.5,14.0,30.0,0.14,0.07,2.0,11.0,0.175,0.07,0.1,0.13,0.5,1.8,1.9,2.0,13.0,5.0,2.6,1.7,3.9,3.0,0.49,1.8,2.75616466376207
35.6,13.0,10.6,10.4,3.2,28.0,0.0,0.5,14.0,30.0,0.175,0.1,2.0,13.0,0.07,0.06,0.1,0.18,0.4,0.3,1.7,3.7,29.0,21.0,4.9,0.9,0.6,3.7,0.26,1.1,10.4584971977897
29.6,8.2,10.6,20.0,11.6,34.0,0.0,0.5,14.0,18.0,0.14,0.1,2.0,25.0,0.14,0.06,0.1,0.39,1.1,2.3,2.4,3.4,7.0,11.0,4.7,3.8,3.6,3.2,0.53,1.7,4.5855027878436
20.0,7.0,5.8,24.8,12.8,7.6,0.0,0.5,14.0,25.0,0.07,0.01,2.0,23.0,0.07,0.03,0.1,0.27,1.0,1.3,4.8,3.9,22.0,21.0,1.6,2.2,3.9,3.5,0.52,2.6,4.93327519906377
44.0,10.6,13.0,22.4,11.6,14.8,0.0,0.51,14.0,35.0,0.105,0.04,2.0,22.0,0.175,0.03,0.1,0.35,1.2,4.3,2.7,2.1,17.0,1.0,1.4,0.9,1.9,3.3,0.32,1.1,5.82438517626576
17.6,2.2,9.4,16.4,20.0,22.0,0.0,0.5,14.0,15.0,0.07,0.07,2.0,29.0,0.105,0.08,0.1,0.04,0.8,0.6,4.9,2.4,11.0,24.0,2.8,4.5,1.9,4.5,0.44,2.2,3.50022029096931
27.2,9.4,13.0,5.6,11.6,32.8,0.0,0.51,14.0,34.0,0.07,0.02,2.0,32.0,0.14,0.07,0.1,0.12,0.7,1.6,2.9,4.6,26.0,7.0,4.8,4.2,0.2,2.5,0.53,2.0,3.56696214403924
15.2,2.2,3.4,21.2,15.2,8.8,0.0,0.51,14.0,27.0,0.105,0.09,2.0,32.0,0.175,0.03,0.1,0.01,1.9,1.1,3.9,2.7,13.0,15.0,0.2,3.0,2.9,0.7,1.07,1.5,2.96885373632444
34.4,11.8,3.4,10.4,20.0,13.6,0.0,0.51,14.0,16.0,0.175,0.01,2.0,28.0,0.175,0.04,0.1,0.1,1.5,1.4,4.1,4.6,4.0,15.0,4.3,2.9,4.6,2.8,0.62,2.6,3.9040176957633
35.6,7.0,9.4,17.6,15.2,11.2,0.0,0.51,14.0,29.0,0.14,0.04,2.0,13.0,0.07,0.04,0.1,0.5,1.1,3.1,4.6,2.3,14.0,14.0,0.8,0.3,0.6,2.1,1.09,1.4,8.87307969405538
20.0,10.6,10.6,9.2,16.4,52.0,0.0,0.51,14.0,18.0,0.105,0.01,2.0,19.0,0.07,0.05,0.1,0.24,1.8,2.0,5.0,4.9,10.0,23.0,3.9,3.6,1.0,0.9,0.43,3.7,3.94716596056754
29.6,11.8,8.2,21.2,14.0,34.0,0.0,0.51,14.0,28.0,0.07,0.01,2.0,35.0,0.175,0.05,0.1,0.21,1.4,2.7,4.6,3.5,27.0,10.0,0.3,2.0,1.6,1.0,0.53,2.9,2.78775372965517
35.6,11.8,9.4,10.4,23.6,7.6,0.0,0.5,14.0,26.0,0.035,0.01,2.0,9.0,0.14,0.03,0.1,0.16,2.9,2.7,4.4,4.0,0.0,0.0,3.7,3.4,4.3,2.2,0.47,3.4,3.99395389706955
14.0,9.4,4.6,8.0,3.2,19.6,0.0,0.5,14.0,32.0,0.105,0.03,2.0,18.0,0.14,0.02,0.1,0.27,0.2,0.3,1.8,4.7,25.0,7.0,1.3,3.3,3.3,0.2,0.1,1.1,4.31725856731285
44.0,13.0,13.0,26.0,21.2,48.4,0.0,0.51,14.0,24.0,0.105,0.08,2.0,13.0,0.14,0.07,0.1,0.3,2.5,2.4,4.8,4.2,18.0,30.0,0.5,0.3,3.0,3.3,2.13,2.8,3.83437517216889
14.0,11.8,8.2,5.6,15.2,32.8,0.0,0.51,14.0,32.0,0.035,0.03,2.0,30.0,0.035,0.01,0.1,0.27,0.8,1.7,4.6,4.7,12.0,5.0,3.4,3.5,4.8,2.2,0.13,4.3,5.17440876764775
27.2,2.2,3.4,22.4,11.6,22.0,0.0,0.5,14.0,32.0,0.14,0.06,2.0,27.0,0.14,0.02,0.1,0.35,1.1,1.0,2.8,3.1,8.0,16.0,3.8,0.7,2.2,3.7,0.2,2.7,2.40688856187464
16.4,7.0,11.8,5.6,16.4,24.4,0.0,0.5,14.0,20.0,0.14,0.02,2.0,17.0,0.14,0.08,0.1,0.46,1.8,1.3,4.0,3.4,22.0,3.0,1.3,4.7,4.4,2.7,1.29,2.2,2.4855032899589
4.4,2.2,3.4,6.8,8.0,46.0,0.0,0.51,14.0,30.0,0.14,0.04,2.0,9.0,0.035,0.01,0.1,0.11,0.7,4.0,4.0,4.4,1.0,7.0,4.0,2.5,4.1,2.7,0.66,1.5,9.01319931945215
50.0,9.4,13.0,16.4,18.8,4.0,0.0,0.5,14.0,32.0,0.07,0.02,2.0,17.0,0.07,0.04,0.1,0.21,2.2,3.1,4.5,3.8,10.0,18.0,3.7,2.2,0.8,2.5,1.83,2.7,8.6545043360439
14.0,2.2,11.8,9.2,23.6,47.2,0.0,0.5,14.0,12.0,0.14,0.02,2.0,32.0,0.175,0.01,0.1,0.39,2.7,0.9,4.3,4.3,21.0,18.0,3.8,2.2,4.2,2.0,0.2,4.1,1.51151083289382
42.8,8.2,7.0,18.8,4.4,38.8,0.0,0.5,14.0,9.0,0.14,0.03,2.0,27.0,0.14,0.01,0.1,0.12,0.2,0.2,2.5,4.1,2.0,23.0,3.1,0.3,2.2,3.4,0.17,1.2,6.88209281060782
38.0,13.0,2.2,17.6,10.4,25.6,0.0,0.5,14.0,34.0,0.175,0.07,2.0,10.0,0.07,0.03,0.1,0.37,0.5,2.3,5.0,4.9,26.0,15.0,1.8,2.5,4.5,4.3,0.46,4.7,6.37749901544934
52.4,5.8,3.4,26.0,11.6,49.6,0.0,0.5,14.0,33.0,0.105,0.1,2.0,9.0,0.14,0.08,0.1,0.21,1.3,2.4,4.0,4.0,4.0,17.0,0.1,2.3,4.2,4.4,0.7,1.2,7.22150730598595
42.8,1.0,11.8,6.8,11.6,18.4,0.0,0.51,14.0,33.0,0.14,0.08,2.0,29.0,0.07,0.03,0.1,0.11,1.1,1.5,3.8,2.2,11.0,7.0,0.3,0.9,4.2,1.5,0.47,2.1,6.29251128288784
14.0,7.0,10.6,22.4,16.4,31.6,0.0,0.5,14.0,32.0,0.105,0.01,2.0,29.0,0.105,0.02,0.1,0.49,2.2,1.2,3.6,4.9,7.0,2.0,4.1,1.3,0.9,0.5,0.14,2.3,3.33763560662554
50.0,10.6,10.6,9.2,20.0,13.6,0.0,0.5,14.0,12.0,0.07,0.03,2.0,23.0,0.105,0.06,0.1,0.18,1.0,1.1,4.6,2.5,6.0,0.0,4.6,3.7,0.3,1.8,0.27,2.0,6.5611463699838
44.0,7.0,4.6,23.6,9.2,11.2,0.0,0.5,14.0,22.0,0.14,0.01,2.0,12.0,0.14,0.1,0.1,0.14,0.6,2.8,4.0,1.9,10.0,29.0,5.0,3.8,4.2,4.8,0.42,1.0,8.48520133308681
44.0,9.4,8.2,3.2,10.4,11.2,0.0,0.51,14.0,30.0,0.175,0.01,2.0,18.0,0.07,0.06,0.1,0.06,1.3,3.2,4.0,2.6,29.0,20.0,4.8,1.9,3.5,2.1,0.6,2.2,7.8619538289747
35.6,11.8,9.4,5.6,3.2,32.8,0.0,0.5,14.0,34.0,0.175,0.07,2.0,20.0,0.14,0.05,0.1,0.14,0.3,3.5,1.6,4.5,17.0,16.0,2.8,3.9,1.2,0.6,0.22,1.4,5.53056956729402
41.6,7.0,4.6,14.0,21.2,7.6,0.0,0.51,14.0,29.0,0.175,0.05,2.0,31.0,0.105,0.1,0.1,0.21,1.6,1.7,4.8,3.1,14.0,3.0,3.9,2.9,3.8,2.6,1.04,2.5,4.6447115613605
15.2,5.8,3.4,20.0,14.0,37.6,0.0,0.51,14.0,29.0,0.175,0.07,2.0,12.0,0.07,0.05,0.1,0.24,1.8,1.4,5.0,4.1,17.0,12.0,1.2,1.6,3.3,0.9,0.82,2.1,5.07934241027932
30.8,7.0,7.0,22.4,3.2,5.2,0.0,0.51,14.0,24.0,0.105,0.02,2.0,22.0,0.14,0.08,0.1,0.27,0.4,1.3,1.3,2.1,5.0,16.0,0.9,2.1,1.9,4.9,0.29,1.2,5.26568733413969
36.8,7.0,5.8,11.6,4.4,53.2,0.0,0.5,14.0,18.0,0.035,0.03,2.0,18.0,0.175,0.1,0.1,0.46,0.4,1.9,2.6,3.5,23.0,21.0,2.6,4.7,4.8,1.8,0.2,1.3,5.33674058083322
14.0,7.0,8.2,6.8,8.0,23.2,0.0,0.5,14.0,21.0,0.14,0.05,2.0,31.0,0.105,0.07,0.1,0.15,0.5,0.5,2.4,3.4,19.0,21.0,3.6,4.2,1.7,4.4,0.33,1.2,5.0027702351551
17.6,7.0,11.8,4.4,14.0,47.2,0.0,0.51,14.0,23.0,0.175,0.03,2.0,35.0,0.07,0.04,0.1,0.25,0.9,1.1,4.5,2.9,3.0,2.0,1.6,4.4,4.5,2.6,0.76,2.8,3.69573072877025
50.0,8.2,4.6,8.0,14.0,35.2,0.0,0.51,14.0,24.0,0.105,0.01,2.0,10.0,0.105,0.06,0.1,0.41,1.4,1.3,4.6,4.6,3.0,7.0,0.3,0.1,2.3,2.1,1.12,3.8,3.3811845264064
34.4,4.6,10.6,15.2,22.4,43.6,0.0,0.5,14.0,32.0,0.175,0.03,2.0,9.0,0.105,0.03,0.1,0.07,1.4,3.2,3.9,3.4,7.0,6.0,3.1,4.7,1.0,2.4,0.24,3.3,3.42992057249378
16.4,7.0,11.8,24.8,3.2,31.6,0.0,0.5,14.0,30.0,0.07,0.02,2.0,11.0,0.175,0.02,0.1,0.25,0.3,2.1,1.6,3.3,11.0,15.0,2.8,3.6,5.0,3.8,0.29,1.0,5.06211120604301
17.6,7.0,11.8,17.6,20.0,34.0,0.0,0.5,14.0,34.0,0.07,0.06,2.0,28.0,0.175,0.1,0.1,0.42,1.3,3.9,4.3,4.4,14.0,23.0,4.3,0.4,4.9,2.3,1.06,1.8,2.82752811668832
40.4,5.8,5.8,6.8,26.0,35.2,0.0,0.5,14.0,34.0,0.175,0.08,2.0,31.0,0.105,0.08,0.1,0.12,2.8,2.8,4.6,4.7,12.0,27.0,3.9,0.8,1.5,2.4,0.79,3.8,3.62380258861463
50.0,1.0,7.0,16.4,11.6,37.6,0.0,0.51,14.0,28.0,0.105,0.1,2.0,28.0,0.07,0.03,0.1,0.27,1.3,1.3,4.5,4.8,3.0,30.0,1.1,2.6,4.8,5.0,0.31,2.1,7.23039015317718
15.2,9.4,3.4,2.0,3.2,38.8,0.0,0.51,14.0,34.0,0.175,0.05,2.0,31.0,0.14,0.01,0.1,0.42,0.3,1.0,1.4,1.6,23.0,16.0,3.8,4.9,1.8,4.2,0.2,1.2,3.13266958936026
33.2,11.8,11.8,22.4,6.8,22.0,0.0,0.5,14.0,26.0,0.175,0.03,2.0,18.0,0.07,0.05,0.1,0.32,0.6,2.4,2.7,2.6,19.0,5.0,2.8,0.9,4.4,0.9,0.39,2.0,6.82221584757187
20.0,10.6,13.0,21.2,9.2,23.2,0.0,0.51,14.0,23.0,0.14,0.01,2.0,19.0,0.07,0.04,0.1,0.23,0.9,2.8,2.5,3.6,16.0,6.0,4.4,2.1,0.9,2.9,0.39,1.4,7.67335132917053
34.4,2.2,4.6,2.0,9.2,13.6,0.0,0.51,14.0,32.0,0.14,0.06,2.0,35.0,0.175,0.02,0.1,0.39,0.7,0.8,3.0,3.1,3.0,22.0,0.3,4.5,3.2,4.0,0.33,2.1,2.64345736260199
24.8,7.0,2.2,5.6,9.2,53.2,0.0,0.5,14.0,13.0,0.14,0.08,2.0,14.0,0.175,0.04,0.1,0.46,1.2,1.2,2.3,1.4,8.0,19.0,1.9,2.8,1.7,3.7,0.52,1.1,3.81699269659805
20.0,7.0,13.0,15.2,24.8,18.4,0.0,0.5,14.0,25.0,0.175,0.08,2.0,28.0,0.07,0.07,0.1,0.18,1.4,0.5,4.9,4.5,4.0,1.0,4.0,4.5,4.1,2.6,0.29,3.2,4.40785999796612
22.4,9.4,10.6,6.8,12.8,18.4,0.0,0.51,14.0,24.0,0.105,0.05,2.0,11.0,0.035,0.02,0.1,0.24,1.6,1.0,4.2,4.6,13.0,28.0,2.2,2.9,5.0,3.9,0.6,2.7,8.25166663475065
9.2,10.6,2.2,20.0,18.8,16.0,0.0,0.51,14.0,18.0,0.07,0.03,2.0,8.0,0.175,0.05,0.1,0.4,2.5,2.1,5.0,3.7,14.0,25.0,3.4,1.2,1.4,0.9,0.47,1.2,3.30102047850315
