w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,Lmr2_uH
17.6,3.4,3.4,11.6,14.0,12.4,0.0,0.51,14.0,23.0,0.105,0.05,2.0,21.0,0.175,0.07,0.1,0.08,1.5,3.0,3.6,4.8,3.0,28.0,2.0,2.9,0.7,2.9,1.11,1.7,8.88370393405078
15.2,10.6,4.6,26.0,18.8,20.8,0.0,0.5,14.0,28.0,0.175,0.05,2.0,14.0,0.14,0.04,0.1,0.06,1.5,0.5,4.2,4.8,14.0,22.0,4.8,4.9,2.8,0.6,0.34,2.7,17.5933387869691
30.8,3.4,1.0,17.6,8.0,13.6,0.0,0.5,14.0,11.0,0.14,0.03,2.0,11.0,0.175,0.02,0.1,0.14,0.9,0.7,3.4,2.0,6.0,3.0,3.0,0.7,3.5,1.9,0.59,1.1,16.2369251788129
16.4,7.0,10.6,10.4,11.6,20.8,0.0,0.5,14.0,31.0,0.035,0.01,2.0,35.0,0.14,0.08,0.1,0.06,0.8,3.2,4.1,4.3,5.0,19.0,0.4,2.8,0.2,0.3,0.63,3.6,10.8681083071859
39.2,10.6,8.2,21.2,8.0,11.2,0.0,0.51,14.0,34.0,0.07,0.01,2.0,29.0,0.14,0.04,0.1,0.39,1.0,3.7,2.1,2.3,30.0,18.0,2.0,1.3,2.3,1.3,0.25,1.8,45.0685557842138
45.2,9.4,13.0,9.2,3.2,14.8,0.0,0.5,14.0,24.0,0.175,0.04,2.0,8.0,0.105,0.03,0.1,0.05,0.2,3.1,1.9,2.0,4.0,20.0,2.6,4.4,5.0,3.3,0.13,1.0,30.7430212756639
47.6,8.2,10.6,16.4,18.8,47.2,0.0,0.51,14.0,31.0,0.14,0.1,2.0,25.0,0.07,0.01,0.1,0.12,1.0,3.1,4.2,2.4,28.0,0.0,2.1,3.4,0.4,0.7,0.32,1.7,39.9238403973771
23.6,8.2,7.0,21.2,26.0,18.4,0.0,0.5,14.0,17.0,0.105,0.03,2.0,25.0,0.175,0.07,0.1,0.38,1.5,0.9,4.0,4.0,8.0,16.0,0.2,0.4,0.6,4.1,0.4,3.9,23.043855369527
14.0,9.4,3.4,5.6,11.6,20.8,0.0,0.5,14.0,25.0,0.035,0.03,2.0,30.0,0.14,0.03,0.1,0.11,1.4,1.8,3.2,4.9,18.0,15.0,0.5,1.2,3.0,3.5,1.28,2.7,6.50668982675093
40.4,13.0,3.4,26.0,9.2,42.4,0.0,0.5,14.0,24.0,0.14,0.03,2.0,9.0,0.175,0.09,0.1,0.03,0.9,1.9,3.0,2.4,28.0,9.0,3.1,1.4,2.1,0.4,0.58,1.7,46.9040423667799
14.0,9.4,5.8,5.6,8.0,28.0,0.0,0.51,14.0,26.0,0.07,0.02,2.0,25.0,0.07,0.04,0.1,0.49,0.8,1.3,4.2,4.7,11.0,12.0,0.4,4.5,5.0,4.8,0.31,3.0,6.56519864663675
28.4,9.4,11.8,9.2,8.0,50.8,0.0,0.51,14.0,33.0,0.105,0.09,2.0,28.0,0.14,0.08,0.1,0.1,0.8,3.6,5.0,1.5,28.0,27.0,3.7,4.0,1.7,0.6,0.79,1.2,17.5697314667462
9.2,4.6,7.0,9.2,4.4,40.0,0.0,0.5,14.0,5.0,0.175,0.06,2.0,31.0,0.07,0.07,0.1,0.04,0.4,0.5,2.0,4.6,21.0,28.0,2.0,3.6,2.5,4.5,0.15,1.6,4.72822048913496
41.6,2.2,4.6,22.4,17.6,28.0,0.0,0.51,14.0,27.0,0.105,0.03,2.0,9.0,0.07,0.07,0.1,0.16,1.8,0.6,4.7,4.2,27.0,8.0,0.8,1.1,3.6,1.6,0.45,1.8,18.8893676213409
32.0,3.4,2.2,14.0,24.8,48.4,0.0,0.5,14.0,24.0,0.105,0.02,2.0,14.0,0.07,0.02,0.1,0.36,1.4,1.9,4.3,4.6,28.0,7.0,1.6,2.0,0.7,2.7,1.29,3.5,15.3346858305722
17.6,10.6,13.0,16.4,12.8,16.0,0.0,0.5,14.0,11.0,0.175,0.07,2.0,17.0,0.14,0.07,0.1,0.04,0.8,0.9,3.9,4.6,14.0,16.0,3.0,5.0,3.2,2.0,0.26,2.4,18.1534726070083
42.8,7.0,13.0,17.6,14.0,20.8,0.0,0.5,14.0,30.0,0.175,0.06,2.0,11.0,0.07,0.01,0.1,0.47,0.7,1.0,3.0,4.1,28.0,17.0,1.0,4.3,1.1,2.9,0.12,2.0,36.9660423380634
26.0,9.4,10.6,10.4,22.4,49.6,0.0,0.5,14.0,34.0,0.175,0.01,2.0,20.0,0.14,0.07,0.1,0.24,2.6,1.9,5.0,3.3,18.0,5.0,1.1,4.5,4.7,4.7,1.2,1.9,17.1927075281999
14.0,8.2,11.8,5.6,20.0,35.2,0.0,0.51,14.0,33.0,0.14,0.04,2.0,23.0,0.105,0.03,0.1,0.14,0.9,2.7,4.6,3.6,16.0,7.0,5.0,2.0,2.5,0.9,0.82,1.6,6.33527819770844
41.6,5.8,10.6,21.2,26.0,30.4,0.0,0.51,14.0,33.0,0.035,0.02,2.0,20.0,0.14,0.05,0.1,0.12,2.1,3.9,4.9,4.2,8.0,19.0,2.0,4.8,3.1,3.0,0.31,3.8,32.6397072992978
11.6,3.4,13.0,14.0,3.2,25.6,0.0,0.51,14.0,25.0,0.175,0.03,2.0,10.0,0.14,0.01,0.1,0.21,0.2,3.3,1.4,2.9,23.0,10.0,0.5,3.4,2.9,1.9,0.12,1.1,6.30825265514234
33.2,2.2,10.6,24.8,21.2,16.0,0.0,0.51,14.0,28.0,0.07,0.06,2.0,28.0,0.175,0.09,0.1,0.24,1.0,1.7,4.8,4.7,5.0,12.0,1.2,2.9,3.6,0.1,0.25,4.5,17.2360340514301
28.4,4.6,13.0,22.4,5.6,31.6,0.0,0.51,14.0,35.0,0.175,0.05,2.0,21.0,0.14,0.06,0.1,0.44,0.7,0.7,3.1,3.8,5.0,21.0,0.1,2.3,2.0,1.2,0.46,1.9,21.2810851237932
38.0,11.8,5.8,18.8,10.4,5.2,0.0,0.5,14.0,31.0,0.175,0.04,2.0,28.0,0.07,0.03,0.1,0.11,1.2,2.4,4.6,4.2,6.0,2.0,4.4,2.7,1.6,3.9,0.1,3.0,42.3783767325482
22.4,7.0,7.0,5.6,21.2,23.2,0.0,0.51,14.0,33.0,0.14,0.05,2.0,10.0,0.07,0.05,0.1,0.24,2.4,2.9,4.3,2.9,13.0,14.0,3.1,1.0,5.0,2.2,0.61,2.1,9.69229883584073
48.8,5.8,4.6,10.4,10.4,16.0,0.0,0.51,14.0,18.0,0.14,0.03,2.0,12.0,0.105,0.03,0.1,0.15,1.1,0.3,2.3,3.4,5.0,21.0,3.6,4.8,4.8,0.1,0.27,1.4,29.4538569919965
28.4,11.8,4.6,23.6,11.6,42.4,0.0,0.51,14.0,22.0,0.175,0.04,2.0,14.0,0.07,0.02,0.1,0.04,1.4,2.4,2.5,2.3,2.0,29.0,1.4,4.3,4.9,0.4,0.5,1.1,31.6041661881171
8.0,2.2,13.0,6.8,11.6,5.2,0.0,0.5,14.0,35.0,0.105,0.08,2.0,23.0,0.105,0.07,0.1,0.4,1.5,4.1,2.7,1.3,28.0,11.0,0.1,1.6,3.7,4.9,0.49,1.0,2.83183859926813
46.4,8.2,8.2,15.2,6.8,36.4,0.0,0.51,14.0,31.0,0.14,0.01,2.0,24.0,0.14,0.07,0.1,0.03,0.8,3.6,3.4,4.5,15.0,10.0,4.5,1.2,1.6,3.1,0.1,2.9,37.436022681594
23.6,13.0,13.0,16.4,26.0,48.4,0.0,0.51,14.0,18.0,0.175,0.03,2.0,32.0,0.175,0.1,0.1,0.44,2.4,0.8,4.9,4.7,25.0,21.0,4.1,1.6,4.7,3.0,0.54,3.1,23.2780313429942
35.6,8.2,2.2,15.2,21.2,37.6,0.0,0.51,14.0,33.0,0.105,0.01,2.0,7.0,0.175,0.06,0.1,0.22,2.3,3.8,4.8,2.8,30.0,26.0,3.1,2.4,4.9,2.4,2.18,2.4,23.655001178909
38.0,8.2,3.4,15.2,17.6,44.8,0.0,0.5,14.0,14.0,0.07,0.02,2.0,27.0,0.105,0.04,0.1,0.07,2.1,0.3,4.3,2.5,14.0,10.0,0.1,1.3,0.7,4.8,0.13,2.4,27.2735506380548
29.6,9.4,10.6,20.0,23.6,53.2,0.0,0.51,14.0,15.0,0.105,0.06,2.0,35.0,0.175,0.07,0.1,0.03,2.7,1.8,4.5,4.7,10.0,28.0,0.6,2.6,0.5,0.6,0.42,3.9,27.2655327107737
47.6,8.2,3.4,23.6,3.2,18.4,0.0,0.51,14.0,21.0,0.07,0.02,2.0,27.0,0.105,0.02,0.1,0.31,0.3,2.4,1.7,3.2,14.0,11.0,0.7,0.7,3.8,0.3,0.11,1.2,49.332281594214
26.0,2.2,13.0,21.2,16.4,52.0,0.0,0.5,14.0,26.0,0.105,0.1,2.0,33.0,0.105,0.05,0.1,0.33,1.9,2.8,3.9,3.7,23.0,10.0,3.0,0.6,2.2,0.1,1.83,1.1,11.7335305696023
16.4,7.0,11.8,12.8,6.8,42.4,0.0,0.51,14.0,33.0,0.175,0.09,2.0,16.0,0.14,0.08,0.1,0.12,0.4,3.9,4.0,3.7,3.0,15.0,1.5,1.7,2.6,3.6,0.17,1.9,11.4887976511118
16.4,11.8,9.4,10.4,26.0,50.8,0.0,0.51,14.0,34.0,0.175,0.08,2.0,25.0,0.07,0.01,0.1,0.14,1.7,2.5,4.1,4.8,9.0,23.0,3.4,3.7,2.7,1.1,1.13,3.9,11.5588500782478
34.4,7.0,11.8,6.8,21.2,8.8,0.0,0.5,14.0,28.0,0.14,0.05,2.0,20.0,0.105,0.09,0.1,0.41,2.4,1.9,4.5,4.7,6.0,17.0,3.4,1.3,1.4,4.1,0.28,2.4,18.0993283501833
34.4,8.2,7.0,24.8,9.2,28.0,0.0,0.5,14.0,23.0,0.105,0.1,2.0,23.0,0.105,0.07,0.1,0.24,1.1,1.0,2.3,3.1,29.0,11.0,0.8,2.5,2.3,1.6,0.77,1.4,35.9448355493721
26.0,2.2,2.2,20.0,22.4,43.6,0.0,0.51,14.0,14.0,0.07,0.07,2.0,20.0,0.14,0.09,0.1,0.3,2.6,1.8,4.5,4.6,24.0,3.0,4.4,1.0,3.0,2.3,0.48,4.1,10.7508924474873
46.4,3.4,2.2,12.8,16.4,17.2,0.0,0.5,14.0,35.0,0.14,0.08,2.0,21.0,0.175,0.09,0.1,0.37,2.1,1.5,4.7,2.7,8.0,0.0,2.7,1.4,4.4,3.5,0.77,1.6,22.4181438173767
46.4,3.4,3.4,9.2,26.0,47.2,0.0,0.5,14.0,29.0,0.14,0.01,2.0,19.0,0.175,0.05,0.1,0.39,2.0,2.1,5.0,4.8,25.0,16.0,3.5,4.4,5.0,0.2,0.73,2.9,18.9144313744822
12.8,11.8,11.8,16.4,4.4,4.0,0.0,0.51,14.0,25.0,0.14,0.07,2.0,22.0,0.175,0.06,0.1,0.07,0.5,2.8,1.2,2.1,17.0,15.0,3.0,4.2,0.3,3.4,0.16,1.0,14.4228965425627
17.6,5.8,8.2,14.0,12.8,32.8,0.0,0.5,14.0,31.0,0.035,0.03,2.0,27.0,0.105,0.08,0.1,0.25,1.1,1.0,3.1,4.1,4.0,30.0,0.5,0.7,4.2,0.6,0.98,2.7,12.5343034365127
39.2,3.4,11.8,22.4,4.4,20.8,0.0,0.51,14.0,21.0,0.175,0.04,2.0,19.0,0.105,0.04,0.1,0.25,0.5,0.5,2.8,3.4,24.0,21.0,0.2,2.6,3.5,2.3,0.17,1.4,24.2606221242438
36.8,4.6,13.0,18.8,26.0,32.8,0.0,0.51,14.0,30.0,0.07,0.02,2.0,29.0,0.175,0.05,0.1,0.48,2.0,2.2,4.7,4.7,12.0,22.0,2.2,1.3,2.2,0.3,1.68,3.5,26.8196228433461
21.2,8.2,7.0,18.8,14.0,23.2,0.0,0.51,14.0,16.0,0.14,0.03,2.0,34.0,0.14,0.09,0.1,0.17,1.4,1.5,4.0,2.2,4.0,7.0,2.2,3.9,0.3,1.4,0.49,1.4,20.1995722984244
34.4,4.6,2.2,18.8,8.0,43.6,0.0,0.51,14.0,25.0,0.14,0.02,2.0,21.0,0.14,0.06,0.1,0.13,0.6,2.0,3.6,2.3,5.0,5.0,0.1,4.8,4.2,1.4,0.15,2.0,21.5850774029395
26.0,2.2,4.6,8.0,15.2,36.4,0.0,0.5,14.0,33.0,0.07,0.07,2.0,10.0,0.175,0.09,0.1,0.32,1.6,1.1,4.1,4.2,28.0,13.0,1.1,3.8,1.4,2.7,0.81,1.1,9.19439355626686
52.4,10.6,3.4,18.8,24.8,18.4,0.0,0.51,14.0,26.0,0.14,0.05,2.0,10.0,0.14,0.1,0.1,0.29,3.0,2.9,4.2,4.8,15.0,13.0,4.0,4.7,2.9,2.7,1.86,4.0,47.2575300432889
46.4,9.4,3.4,24.8,12.8,13.6,0.0,0.5,14.0,15.0,0.175,0.06,2.0,28.0,0.14,0.02,0.1,0.35,1.5,0.7,3.0,4.9,16.0,25.0,1.5,1.9,0.4,0.6,0.44,2.8,48.7487197871526
11.6,5.8,4.6,20.0,3.2,22.0,0.0,0.51,14.0,20.0,0.07,0.03,2.0,31.0,0.07,0.02,0.1,0.35,0.3,2.2,1.4,4.3,2.0,17.0,3.2,4.7,3.0,4.4,0.12,1.3,9.73427132193029
12.8,11.8,10.6,23.6,22.4,26.8,0.0,0.51,14.0,24.0,0.14,0.07,2.0,23.0,0.07,0.03,0.1,0.1,2.6,2.3,4.2,4.0,11.0,19.0,0.9,2.9,2.0,2.5,0.96,3.5,15.522515592909
40.4,8.2,8.2,6.8,5.6,42.4,0.0,0.51,14.0,22.0,0.105,0.04,2.0,25.0,0.105,0.03,0.1,0.09,0.3,0.3,2.4,1.4,19.0,26.0,3.5,3.7,3.2,1.9,0.12,1.0,19.9217883531705
42.8,13.0,11.8,23.6,9.2,16.0,0.0,0.51,14.0,11.0,0.14,0.05,2.0,16.0,0.105,0.06,0.1,0.31,0.6,0.2,3.9,3.9,1.0,27.0,2.8,2.3,1.9,1.7,0.19,2.7,56.8413569416831
33.2,2.2,11.8,24.8,17.6,53.2,0.0,0.5,14.0,21.0,0.175,0.07,2.0,23.0,0.175,0.1,0.1,0.13,2.1,2.3,4.9,2.7,10.0,15.0,0.1,3.2,4.6,1.0,1.48,1.5,15.0267475416349
21.2,13.0,2.2,17.6,17.6,43.6,0.0,0.5,14.0,33.0,0.105,0.06,2.0,18.0,0.175,0.06,0.1,0.1,1.4,4.3,4.8,2.9,10.0,14.0,5.0,3.8,2.0,3.6,1.37,1.4,17.9086902074052
51.2,4.6,11.8,21.2,4.4,7.6,0.0,0.51,14.0,17.0,0.105,0.03,2.0,12.0,0.14,0.04,0.1,0.14,0.4,1.9,2.0,1.5,3.0,17.0,3.8,3.7,2.4,2.2,0.18,1.1,39.9247722909347
22.4,3.4,2.2,4.4,23.6,32.8,0.0,0.5,14.0,33.0,0.14,0.05,2.0,18.0,0.035,0.03,0.1,0.43,2.2,1.3,4.5,5.0,20.0,15.0,0.8,2.5,3.8,3.0,0.1,3.6,6.37552673052125
51.2,2.2,11.8,21.2,15.2,12.4,0.0,0.5,14.0,12.0,0.14,0.02,2.0,34.0,0.14,0.09,0.1,0.32,2.0,0.9,5.0,4.5,25.0,16.0,1.5,2.1,1.0,5.0,0.65,3.8,24.5390060360813
35.6,5.8,9.4,20.0,23.6,44.8,0.0,0.5,14.0,15.0,0.105,0.04,2.0,25.0,0.07,0.07,0.1,0.1,2.4,1.6,5.0,3.0,7.0,4.0,3.3,4.6,4.2,4.2,0.79,2.2,26.7024659698528
9.2,3.4,5.8,11.6,9.2,7.6,0.0,0.51,14.0,35.0,0.175,0.01,2.0,9.0,0.105,0.05,0.1,0.22,0.7,0.4,2.8,2.6,16.0,30.0,0.1,0.8,3.0,2.9,0.19,1.7,5.17234064369518
27.2,9.4,10.6,23.6,15.2,43.6,0.0,0.5,14.0,31.0,0.035,0.03,2.0,7.0,0.105,0.06,0.1,0.07,1.9,3.6,3.7,3.6,0.0,9.0,0.7,2.8,4.4,2.6,1.33,1.8,28.3157065051135
40.4,10.6,2.2,18.8,8.0,50.8,0.0,0.51,14.0,29.0,0.175,0.09,2.0,20.0,0.07,0.03,0.1,0.32,1.0,0.9,4.0,4.3,17.0,28.0,4.7,0.2,0.1,3.8,0.55,3.2,35.8340896648391
11.6,3.4,9.4,4.4,11.6,32.8,0.0,0.51,14.0,32.0,0.105,0.06,2.0,22.0,0.14,0.07,0.1,0.01,1.3,3.9,4.7,2.1,16.0,3.0,4.7,1.5,1.0,0.1,0.98,1.5,3.493356300647
11.6,8.2,7.0,6.8,11.6,49.6,0.0,0.51,14.0,25.0,0.105,0.1,2.0,3.0,0.175,0.03,0.1,0.21,0.8,2.5,4.7,1.4,7.0,1.0,0.1,4.1,2.8,3.0,0.6,1.0,5.7378849231665
29.6,4.6,10.6,23.6,16.4,40.0,0.0,0.51,14.0,34.0,0.175,0.03,2.0,18.0,0.14,0.08,0.1,0.2,1.7,3.6,4.0,3.8,0.0,27.0,2.7,4.8,3.7,3.8,0.38,3.4,21.6588010496424
22.4,5.8,10.6,18.8,21.2,23.2,0.0,0.51,14.0,26.0,0.175,0.05,2.0,16.0,0.175,0.03,0.1,0.38,1.3,0.8,4.2,3.2,26.0,0.0,2.5,4.8,4.4,0.8,0.61,2.3,19.562508808811
15.2,9.4,8.2,20.0,17.6,43.6,0.0,0.5,14.0,26.0,0.105,0.06,2.0,11.0,0.14,0.07,0.1,0.27,1.8,2.7,4.2,3.4,0.0,10.0,0.6,1.5,1.0,0.5,1.66,1.9,14.8915521171769
17.6,8.2,13.0,23.6,6.8,37.6,0.0,0.51,14.0,16.0,0.105,0.05,2.0,5.0,0.035,0.02,0.1,0.3,0.8,0.6,3.0,1.3,21.0,6.0,4.5,1.7,3.9,0.9,0.31,1.1,18.1764212423496
12.8,10.6,13.0,5.6,4.4,5.2,0.0,0.51,14.0,32.0,0.105,0.1,2.0,7.0,0.175,0.07,0.1,0.33,0.4,4.1,1.7,1.8,20.0,13.0,4.3,3.6,2.8,1.9,0.29,1.4,6.67924141004099
24.8,4.6,2.2,23.6,20.0,26.8,0.0,0.51,14.0,10.0,0.14,0.05,2.0,10.0,0.14,0.04,0.1,0.44,2.3,1.3,4.0,4.0,12.0,21.0,0.5,4.2,3.8,0.6,0.21,2.4,16.2254149085542
22.4,7.0,4.6,23.6,6.8,8.8,0.0,0.5,14.0,19.0,0.07,0.01,2.0,32.0,0.105,0.09,0.1,0.27,0.7,2.4,2.3,1.4,6.0,28.0,3.9,0.7,1.0,2.8,0.56,1.0,21.7243349275538
28.4,8.2,7.0,10.4,10.4,49.6,0.0,0.5,14.0,19.0,0.175,0.02,2.0,8.0,0.105,0.06,0.1,0.02,1.3,2.5,4.8,4.4,3.0,1.0,1.5,4.1,3.4,3.8,0.67,2.8,17.8074193346963
9.2,10.6,3.4,18.8,18.8,32.8,0.0,0.5,14.0,28.0,0.105,0.08,2.0,27.0,0.14,0.01,0.1,0.43,1.3,1.1,4.7,3.1,6.0,4.0,1.5,0.3,0.9,2.7,0.57,1.3,8.97343724732801
20.0,7.0,9.4,24.8,10.4,19.6,0.0,0.51,14.0,16.0,0.14,0.01,2.0,24.0,0.07,0.03,0.1,0.23,1.3,1.7,2.1,2.6,27.0,28.0,1.1,3.3,4.4,4.3,0.51,1.4,19.7886570978989
38.0,4.6,8.2,16.4,18.8,50.8,0.0,0.5,14.0,31.0,0.105,0.03,2.0,23.0,0.105,0.08,0.1,0.1,1.2,3.1,4.4,2.3,20.0,21.0,4.7,4.1,1.9,3.7,0.91,1.8,23.4680344910766
44.0,9.4,4.6,11.6,8.0,24.4,0.0,0.5,14.0,19.0,0.175,0.07,2.0,12.0,0.175,0.03,0.1,0.32,0.6,0.5,1.7,3.0,5.0,26.0,4.5,2.7,1.7,1.3,0.26,1.1,33.0994518534364
44.0,8.2,3.4,21.2,20.0,44.8,0.0,0.51,14.0,32.0,0.105,0.1,2.0,31.0,0.105,0.06,0.1,0.26,2.2,4.2,4.9,2.6,10.0,14.0,4.6,3.8,0.3,1.4,0.22,2.2,36.6473060277554
42.8,8.2,1.0,26.0,3.2,13.6,0.0,0.51,14.0,5.0,0.175,0.05,2.0,9.0,0.105,0.03,0.1,0.22,0.2,0.6,1.9,2.3,6.0,3.0,3.5,0.4,3.5,1.9,0.15,1.1,41.8141154667721
21.2,13.0,2.2,9.2,4.4,13.6,0.0,0.51,14.0,16.0,0.105,0.04,2.0,13.0,0.175,0.1,0.1,0.12,0.5,0.5,3.0,3.4,15.0,5.0,1.6,0.8,3.7,4.8,0.46,1.2,15.3286633686469
44.0,13.0,4.6,12.8,12.8,11.2,0.0,0.51,14.0,30.0,0.105,0.08,2.0,11.0,0.175,0.01,0.1,0.13,1.1,2.8,3.1,1.9,12.0,0.0,4.9,4.6,2.2,2.2,0.99,1.0,39.2412328767298
12.8,13.0,10.6,8.0,20.0,31.6,0.0,0.5,14.0,29.0,0.07,0.02,2.0,30.0,0.105,0.02,0.1,0.43,1.6,1.4,3.5,4.6,13.0,20.0,3.0,0.1,1.0,2.5,1.36,3.0,8.30534945542192
51.2,5.8,13.0,23.6,11.6,29.2,0.0,0.5,14.0,29.0,0.175,0.05,2.0,30.0,0.14,0.09,0.1,0.31,0.9,0.6,4.9,5.0,19.0,20.0,3.3,0.4,2.4,4.7,0.51,2.0,45.201760507601
5.6,2.2,9.4,5.6,5.6,4.0,0.0,0.5,14.0,33.0,0.105,0.03,2.0,22.0,0.14,0.02,0.1,0.38,0.4,2.3,2.3,4.1,17.0,9.0,0.2,0.9,1.9,3.7,0.31,1.4,1.93680377400632
30.8,5.8,10.6,20.0,5.6,48.4,0.0,0.5,14.0,24.0,0.175,0.02,2.0,6.0,0.175,0.09,0.1,0.19,0.4,2.8,3.4,2.2,2.0,14.0,3.8,1.9,5.0,4.8,0.24,1.1,23.5381189620299
51.2,9.4,4.6,15.2,21.2,34.0,0.0,0.51,14.0,17.0,0.175,0.07,2.0,14.0,0.105,0.03,0.1,0.49,1.9,1.3,4.2,4.0,12.0,14.0,0.8,1.6,4.7,2.4,1.1,3.1,41.4531986998747
34.4,3.4,9.4,8.0,14.0,29.2,0.0,0.51,14.0,23.0,0.14,0.09,2.0,16.0,0.105,0.09,0.1,0.36,1.9,2.5,5.0,3.2,8.0,27.0,1.6,1.2,1.2,0.5,0.12,1.4,14.2110571166783
39.2,13.0,9.4,9.2,24.8,19.6,0.0,0.5,14.0,21.0,0.14,0.01,2.0,10.0,0.035,0.02,0.1,0.43,2.2,1.8,4.0,4.9,11.0,24.0,2.4,0.8,4.7,3.7,1.35,3.8,27.7989636267203
44.0,13.0,4.6,14.0,26.0,35.2,0.0,0.5,14.0,31.0,0.14,0.05,2.0,29.0,0.105,0.06,0.1,0.32,3.4,2.6,4.7,4.8,25.0,3.0,0.9,3.7,3.2,3.3,1.14,3.9,35.6991833254712
47.6,13.0,3.4,9.2,22.4,42.4,0.0,0.5,14.0,11.0,0.14,0.04,2.0,17.0,0.175,0.04,0.1,0.46,2.3,1.3,4.4,3.3,1.0,4.0,1.9,4.9,3.6,3.8,0.37,3.0,29.4299040670895
21.2,4.6,7.0,4.4,15.2,22.0,0.0,0.51,14.0,29.0,0.175,0.04,2.0,18.0,0.07,0.07,0.1,0.18,1.9,2.9,4.1,4.4,19.0,14.0,2.8,0.6,2.9,3.7,0.73,2.1,7.06008974868382
18.8,5.8,11.8,24.8,26.0,49.6,0.0,0.51,14.0,35.0,0.105,0.01,2.0,18.0,0.07,0.01,0.1,0.28,1.2,2.7,4.9,4.9,5.0,28.0,1.2,3.4,1.5,3.6,0.27,3.7,16.5512032527656
35.6,7.0,9.4,11.6,18.8,47.2,0.0,0.51,14.0,21.0,0.175,0.02,2.0,13.0,0.175,0.07,0.1,0.2,1.3,1.6,4.6,4.8,22.0,29.0,2.0,4.9,1.6,4.8,1.0,2.4,23.4945075387503
11.6,10.6,5.8,20.0,3.2,12.4,0.0,0.5,14.0,12.0,0.14,0.09,2.0,6.0,0.175,0.03,0.1,0.44,0.3,0.4,1.5,2.2,26.0,29.0,2.6,1.2,1.9,4.6,0.26,1.0,13.7104401532769
22.4,7.0,3.4,22.4,12.8,47.2,0.0,0.5,14.0,27.0,0.175,0.05,2.0,12.0,0.105,0.01,0.1,0.29,1.4,2.3,2.7,3.0,9.0,13.0,1.0,4.8,4.0,2.0,1.19,1.9,18.652276079053
45.2,2.2,4.6,12.8,18.8,43.6,0.0,0.5,14.0,25.0,0.105,0.01,2.0,10.0,0.175,0.1,0.1,0.43,1.6,2.4,5.0,4.8,9.0,28.0,5.0,1.9,2.0,0.3,0.22,2.2,17.187607967198
21.2,5.8,7.0,21.2,22.4,52.0,0.0,0.51,14.0,27.0,0.035,0.02,2.0,34.0,0.105,0.08,0.1,0.02,2.9,3.0,4.6,4.2,12.0,23.0,0.2,2.3,3.0,1.4,0.75,2.9,15.6430171379328
32.0,7.0,4.6,20.0,24.8,40.0,0.0,0.51,14.0,28.0,0.105,0.04,2.0,30.0,0.175,0.07,0.1,0.27,2.8,2.8,4.6,4.1,16.0,0.0,3.3,1.0,2.9,1.0,1.8,3.8,30.6453326955581
47.6,10.6,7.0,18.8,8.0,12.4,0.0,0.5,14.0,24.0,0.105,0.04,2.0,22.0,0.14,0.09,0.1,0.15,0.8,1.7,4.9,3.5,24.0,28.0,4.2,2.2,1.0,3.1,0.16,1.3,50.6777203695321
32.0,11.8,5.8,26.0,22.4,46.0,0.0,0.51,14.0,25.0,0.175,0.03,2.0,12.0,0.175,0.03,0.1,0.02,2.6,2.3,3.8,4.5,22.0,15.0,0.9,2.4,2.5,2.5,0.27,3.0,34.6987205977469
35.6,5.8,5.8,3.2,12.8,28.0,0.0,0.51,14.0,33.0,0.105,0.09,2.0,22.0,0.105,0.02,0.1,0.49,1.2,2.9,3.6,3.4,30.0,30.0,2.4,2.2,1.9,4.4,0.12,2.4,9.88486144023668
11.6,3.4,7.0,14.0,21.2,18.4,0.0,0.51,14.0,24.0,0.035,0.01,2.0,13.0,0.07,0.07,0.1,0.14,2.4,1.1,4.2,4.0,3.0,25.0,3.6,2.4,0.2,1.8,0.58,3.9,6.55615735513263
12.8,3.4,10.6,15.2,24.8,44.8,0.0,0.5,14.0,25.0,0.14,0.06,2.0,21.0,0.07,0.01,0.1,0.21,2.2,2.2,5.0,4.3,30.0,8.0,1.6,1.4,3.9,3.5,0.78,2.8,7.2083259581754
22.4,2.2,4.6,14.0,11.6,14.8,0.0,0.51,14.0,30.0,0.105,0.1,2.0,9.0,0.105,0.08,0.1,0.36,1.4,1.9,3.8,2.6,27.0,5.0,4.4,2.4,2.4,2.0,0.4,1.9,9.61162222319489
27.2,7.0,9.4,4.4,20.0,48.4,0.0,0.51,14.0,19.0,0.175,0.06,2.0,13.0,0.105,0.05,0.1,0.27,2.2,2.2,3.6,5.0,29.0,2.0,0.9,0.6,2.2,0.4,0.48,2.6,9.35213950077556
30.8,13.0,2.2,20.0,21.2,43.6,0.0,0.5,14.0,32.0,0.07,0.02,2.0,19.0,0.175,0.07,0.1,0.04,1.2,1.4,3.6,3.1,25.0,21.0,4.9,4.2,2.3,1.2,0.38,2.9,26.4742691660222
