w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,Llr2_uH
6.8,8.2,1.0,9.2,11.6,17.2,0.0,0.51,14.0,31.0,0.035,0.02,2.0,27.0,0.105,0.08,0.1,0.2,1.3,1.7,3.0,4.9,17.0,19.0,2.2,2.0,3.7,3.2,0.68,1.3,0.324424370529387
6.8,4.6,1.0,22.4,6.8,10.0,0.0,0.5,14.0,26.0,0.175,0.01,2.0,19.0,0.07,0.01,0.1,0.49,0.6,0.8,2.9,3.8,8.0,9.0,3.5,1.1,1.3,2.0,0.46,1.6,0.348447462394962
8.0,7.0,1.0,17.6,8.0,16.0,0.0,0.51,14.0,35.0,0.14,0.06,2.0,31.0,0.035,0.03,0.1,0.47,0.4,3.7,3.6,2.4,0.0,8.0,1.0,2.2,1.5,4.5,0.2,1.4,0.5854491855714221
9.2,10.6,1.0,4.4,8.0,17.2,0.0,0.51,14.0,28.0,0.175,0.03,2.0,5.0,0.14,0.09,0.1,0.23,1.0,2.6,4.2,2.3,3.0,10.0,1.5,4.3,2.6,4.3,0.22,1.3,0.326707967592544
12.8,3.4,1.0,8.0,10.4,23.2,0.0,0.5,14.0,16.0,0.105,0.09,2.0,18.0,0.105,0.03,0.1,0.35,0.9,1.8,4.1,3.9,15.0,24.0,1.8,4.9,4.5,4.3,0.51,1.0,0.357856739803746
4.4,1.0,2.2,4.4,15.2,18.4,0.0,0.5,14.0,16.0,0.035,0.03,2.0,14.0,0.105,0.04,0.1,0.39,1.5,1.0,4.2,4.7,27.0,14.0,3.1,0.1,1.0,4.7,0.96,3.4,0.1828014795183619
10.4,1.0,1.0,12.8,14.0,23.2,0.0,0.51,14.0,33.0,0.105,0.05,2.0,22.0,0.07,0.01,0.1,0.31,0.6,4.2,3.9,2.1,23.0,9.0,4.8,0.7,2.4,0.3,0.11,1.7,0.483954273953778
9.2,1.0,1.0,21.2,11.6,28.0,0.0,0.51,14.0,10.0,0.175,0.02,2.0,23.0,0.035,0.03,0.1,0.31,1.2,1.1,4.9,4.5,15.0,30.0,3.9,4.9,4.1,2.7,0.87,1.9,0.328178978787086
11.6,5.8,1.0,2.0,4.4,17.2,0.0,0.5,14.0,29.0,0.105,0.03,2.0,8.0,0.175,0.08,0.1,0.47,0.4,2.8,2.2,4.5,6.0,20.0,2.1,2.0,4.6,3.4,0.21,2.0,0.257575758655326
4.4,1.0,2.2,12.8,14.0,23.2,0.0,0.5,14.0,25.0,0.14,0.04,2.0,19.0,0.105,0.09,0.1,0.43,1.2,2.0,3.2,2.8,1.0,20.0,3.4,4.8,4.1,4.0,1.1,2.4,0.296573097664802
10.4,3.4,1.0,22.4,9.2,41.2,0.0,0.5,14.0,19.0,0.14,0.05,2.0,8.0,0.07,0.02,0.1,0.37,1.0,2.3,2.7,4.5,3.0,26.0,0.9,3.2,1.4,0.5,0.45,1.5,0.4556112825404459
10.4,1.0,1.0,4.4,15.2,50.8,0.0,0.51,14.0,26.0,0.14,0.08,2.0,25.0,0.105,0.04,0.1,0.36,1.8,0.8,4.3,4.4,13.0,24.0,1.3,1.0,1.3,4.2,0.35,4.0,0.219273314552761
5.6,9.4,2.2,14.0,6.8,16.0,0.0,0.5,14.0,17.0,0.14,0.01,2.0,5.0,0.07,0.03,0.1,0.1,0.6,0.8,4.8,2.1,21.0,4.0,1.7,2.2,1.1,4.1,0.18,1.0,0.359465902423016
5.6,10.6,2.2,5.6,4.4,42.4,0.0,0.5,14.0,13.0,0.14,0.04,2.0,8.0,0.105,0.04,0.1,0.19,0.4,1.7,1.2,1.6,14.0,28.0,2.3,0.2,0.4,1.4,0.2,1.1,0.262137933096758
5.6,2.2,2.2,12.8,8.0,29.2,0.0,0.51,14.0,32.0,0.175,0.02,2.0,17.0,0.14,0.04,0.1,0.39,0.9,3.9,3.4,3.9,5.0,19.0,4.1,4.7,3.8,0.4,0.61,3.1,0.323789377756051
5.6,13.0,2.2,8.0,6.8,53.2,0.0,0.5,14.0,14.0,0.07,0.03,2.0,32.0,0.07,0.05,0.1,0.13,0.4,1.5,1.2,4.9,23.0,12.0,4.6,1.7,1.7,3.2,0.26,1.0,0.258686818382199
12.8,8.2,1.0,9.2,8.0,22.0,0.0,0.5,14.0,25.0,0.175,0.03,2.0,11.0,0.105,0.02,0.1,0.3,0.9,1.5,4.2,3.2,5.0,10.0,2.5,0.3,3.5,1.0,0.55,1.4,0.327947598813131
14.0,11.8,1.0,8.0,5.6,12.4,0.0,0.5,14.0,14.0,0.14,0.08,2.0,22.0,0.035,0.03,0.1,0.36,0.5,0.8,2.3,2.3,17.0,13.0,2.2,0.1,0.5,2.5,0.47,1.7,0.265702637351271
4.4,4.6,3.4,3.2,14.0,5.2,0.0,0.51,14.0,35.0,0.105,0.07,2.0,22.0,0.105,0.01,0.1,0.14,1.2,4.6,3.7,5.0,7.0,9.0,3.9,4.3,2.3,1.0,0.17,1.8,0.308014614809713
14.0,9.4,1.0,16.4,4.4,14.8,0.0,0.5,14.0,19.0,0.07,0.04,2.0,18.0,0.07,0.03,0.1,0.13,0.4,1.2,1.9,2.0,13.0,9.0,4.6,4.7,0.6,3.6,0.32,1.7,0.3055097227960749
15.2,3.4,1.0,20.0,8.0,31.6,0.0,0.51,14.0,30.0,0.175,0.05,2.0,5.0,0.035,0.02,0.1,0.26,0.9,4.0,4.6,2.7,9.0,17.0,1.0,2.8,4.3,3.2,0.5,1.8,0.530012922253056
15.2,3.4,1.0,20.0,8.0,31.6,0.0,0.51,14.0,30.0,0.175,0.05,2.0,5.0,0.035,0.02,0.1,0.26,0.9,4.0,4.6,2.7,9.0,17.0,1.0,2.8,4.3,3.2,0.5,1.8,0.530012922253056
15.2,3.4,1.0,20.0,8.0,31.6,0.0,0.51,14.0,30.0,0.175,0.05,2.0,5.0,0.035,0.02,0.1,0.26,0.9,4.0,4.6,2.7,9.0,17.0,1.0,2.8,4.3,3.2,0.5,1.8,0.530012922253056
4.4,4.6,3.4,10.4,11.6,23.2,0.0,0.51,14.0,34.0,0.14,0.08,2.0,9.0,0.175,0.07,0.1,0.47,1.4,1.0,4.0,3.3,28.0,8.0,3.3,3.8,3.6,3.5,0.65,2.8,0.227611175441899
6.8,4.6,2.2,8.0,18.8,10.0,0.0,0.5,14.0,29.0,0.105,0.06,2.0,24.0,0.14,0.05,0.1,0.26,1.4,3.7,3.8,3.4,15.0,29.0,4.4,1.8,3.8,4.6,1.11,3.0,0.309395391123317
6.8,13.0,2.2,10.4,10.4,14.8,0.0,0.51,14.0,34.0,0.14,0.03,2.0,32.0,0.105,0.07,0.1,0.44,0.6,0.7,3.0,3.9,1.0,21.0,0.8,4.6,3.5,2.5,0.34,1.9,0.267018789425528
6.8,13.0,2.2,24.8,8.0,42.4,0.0,0.5,14.0,21.0,0.105,0.06,2.0,27.0,0.105,0.01,0.1,0.41,0.6,2.7,2.6,2.1,29.0,25.0,0.4,3.1,4.3,1.8,0.39,1.7,0.483032534748187
15.2,13.0,1.0,8.0,5.6,25.6,0.0,0.5,14.0,18.0,0.105,0.09,2.0,29.0,0.175,0.07,0.1,0.45,0.5,2.2,2.2,3.7,25.0,7.0,4.2,3.3,3.3,1.2,0.31,1.8,0.30220545816228
15.2,8.2,1.0,18.8,4.4,48.4,0.0,0.5,14.0,23.0,0.105,0.1,2.0,11.0,0.035,0.03,0.1,0.2,0.5,0.8,3.1,2.1,20.0,9.0,1.0,4.3,1.4,4.1,0.25,1.1,0.398365322644045
6.8,9.4,2.2,15.2,14.0,29.2,0.0,0.5,14.0,32.0,0.175,0.04,2.0,23.0,0.175,0.04,0.1,0.47,1.4,3.5,4.2,4.7,9.0,11.0,1.2,1.6,1.2,2.7,0.15,3.9,0.341617084789663
4.4,3.4,3.4,16.4,4.4,29.2,0.0,0.51,14.0,18.0,0.07,0.04,2.0,31.0,0.07,0.02,0.1,0.28,0.2,1.7,2.3,4.5,16.0,27.0,0.4,1.3,4.8,0.5,0.11,1.6,0.371479085721079
6.8,3.4,2.2,17.6,6.8,30.4,0.0,0.51,14.0,18.0,0.14,0.1,2.0,32.0,0.07,0.05,0.1,0.38,0.8,0.9,2.1,3.1,20.0,18.0,2.5,0.5,0.7,2.5,0.38,1.3,0.340591916825696
4.4,1.0,3.4,10.4,5.6,10.0,0.0,0.5,14.0,28.0,0.105,0.03,2.0,26.0,0.07,0.07,0.1,0.43,0.5,0.9,1.6,4.6,12.0,27.0,1.0,3.0,1.8,4.8,0.13,1.4,0.266079967664587
15.2,1.0,1.0,22.4,6.8,35.2,0.0,0.5,14.0,24.0,0.14,0.07,2.0,27.0,0.14,0.04,0.1,0.37,0.3,2.2,5.0,3.5,13.0,11.0,3.4,2.6,4.1,1.8,0.15,1.0,0.661846293463472
6.8,2.2,2.2,21.2,6.8,48.4,0.0,0.51,14.0,34.0,0.105,0.09,2.0,27.0,0.035,0.01,0.1,0.48,0.8,2.4,2.8,3.9,6.0,8.0,1.4,3.0,3.9,1.7,0.17,2.2,0.3856750503100299
6.8,2.2,2.2,18.8,14.0,36.4,0.0,0.51,14.0,23.0,0.14,0.08,2.0,17.0,0.105,0.06,0.1,0.43,0.8,2.8,3.8,3.8,16.0,17.0,1.5,1.7,2.3,2.4,0.28,3.2,0.33951020269111
16.4,11.8,1.0,5.6,6.8,20.8,0.0,0.5,14.0,21.0,0.035,0.03,2.0,20.0,0.07,0.05,0.1,0.49,0.8,0.8,4.8,3.5,30.0,28.0,0.6,1.8,1.4,3.8,0.12,1.1,0.360039317424365
16.4,2.2,1.0,11.6,5.6,13.6,0.0,0.51,14.0,12.0,0.175,0.02,2.0,6.0,0.105,0.09,0.1,0.34,0.6,0.7,2.9,4.6,21.0,20.0,1.5,2.1,4.4,1.3,0.31,1.2,0.361361935481738
3.2,5.8,5.8,6.8,4.4,16.0,0.0,0.51,14.0,26.0,0.175,0.09,2.0,32.0,0.14,0.1,0.1,0.42,0.5,2.5,2.3,4.1,24.0,21.0,1.0,4.0,0.9,2.3,0.25,1.8,0.256286865951386
8.0,5.8,2.2,23.6,18.8,28.0,0.0,0.51,14.0,5.0,0.175,0.04,2.0,12.0,0.14,0.04,0.1,0.2,1.1,0.3,4.8,4.7,7.0,25.0,1.4,1.8,0.1,0.4,0.21,3.0,0.5008485250102119
3.2,2.2,5.8,9.2,4.4,35.2,0.0,0.51,14.0,33.0,0.175,0.04,2.0,9.0,0.105,0.05,0.1,0.37,0.3,1.5,2.1,2.8,0.0,19.0,1.5,0.5,3.0,0.3,0.11,1.2,0.29427169921109
8.0,10.6,2.2,12.8,8.0,40.0,0.0,0.5,14.0,14.0,0.105,0.07,2.0,26.0,0.175,0.09,0.1,0.4,0.7,1.0,3.3,3.9,6.0,20.0,3.3,1.0,1.1,2.1,0.39,1.2,0.3064973647819929
18.8,5.8,1.0,11.6,8.0,26.8,0.0,0.51,14.0,34.0,0.175,0.07,2.0,7.0,0.14,0.06,0.1,0.48,0.4,3.3,4.0,2.7,14.0,19.0,3.2,2.1,4.4,2.3,0.18,1.9,0.551482968816993
8.0,8.2,2.2,18.8,17.6,26.8,0.0,0.51,14.0,30.0,0.14,0.05,2.0,33.0,0.14,0.09,0.1,0.16,1.9,3.1,3.7,4.9,10.0,30.0,1.8,0.8,1.3,2.0,0.26,2.5,0.4400200967400879
8.0,8.2,2.2,18.8,17.6,26.8,0.0,0.51,14.0,30.0,0.14,0.05,2.0,33.0,0.14,0.09,0.1,0.16,1.9,3.1,3.7,4.9,10.0,30.0,1.8,0.8,1.3,2.0,0.26,2.5,0.4400200967400879
8.0,8.2,2.2,18.8,17.6,26.8,0.0,0.51,14.0,30.0,0.14,0.05,2.0,33.0,0.14,0.09,0.1,0.16,1.9,3.1,3.7,4.9,10.0,30.0,1.8,0.8,1.3,2.0,0.26,2.5,0.4400200967400879
8.0,2.2,2.2,16.4,8.0,30.4,0.0,0.51,14.0,21.0,0.14,0.09,2.0,11.0,0.105,0.09,0.1,0.32,0.7,2.2,3.1,2.6,10.0,17.0,2.1,0.3,3.9,3.7,0.17,1.5,0.383967595108367
5.6,1.0,3.4,5.6,8.0,12.4,0.0,0.51,14.0,8.0,0.175,0.1,2.0,28.0,0.035,0.02,0.1,0.23,0.6,0.8,4.8,4.0,10.0,19.0,4.7,4.5,1.1,3.8,0.14,2.0,0.263921770858222
17.6,4.6,1.0,8.0,9.2,22.0,0.0,0.5,14.0,31.0,0.175,0.1,2.0,34.0,0.105,0.06,0.1,0.17,1.1,1.8,4.4,4.9,30.0,18.0,2.7,1.8,2.6,3.4,0.49,2.6,0.251533081562574
17.6,4.6,1.0,8.0,9.2,22.0,0.0,0.5,14.0,31.0,0.175,0.1,2.0,34.0,0.105,0.06,0.1,0.17,1.1,1.8,4.4,4.9,30.0,18.0,2.7,1.8,2.6,3.4,0.49,2.6,0.251533081562574
17.6,4.6,1.0,8.0,9.2,22.0,0.0,0.5,14.0,31.0,0.175,0.1,2.0,34.0,0.105,0.06,0.1,0.17,1.1,1.8,4.4,4.9,30.0,18.0,2.7,1.8,2.6,3.4,0.49,2.6,0.251533081562574
18.8,2.2,1.0,17.6,4.4,35.2,0.0,0.51,14.0,29.0,0.14,0.08,2.0,30.0,0.175,0.06,0.1,0.49,0.3,3.7,2.8,2.3,8.0,13.0,2.3,3.3,3.5,0.9,0.19,1.2,0.6597671321172981
17.6,2.2,1.0,14.0,10.4,36.4,0.0,0.5,14.0,7.0,0.07,0.02,2.0,5.0,0.14,0.03,0.1,0.3,0.6,0.3,2.5,2.9,16.0,1.0,2.4,3.6,0.9,4.6,0.2,1.8,0.369088476507013
8.0,8.2,2.2,22.4,5.6,13.6,0.0,0.51,14.0,15.0,0.175,0.09,2.0,17.0,0.14,0.08,0.1,0.29,0.7,1.4,3.0,3.6,10.0,8.0,3.6,4.2,0.6,3.1,0.34,2.2,0.308913167476596
8.0,3.4,2.2,11.6,22.4,36.4,0.0,0.5,14.0,28.0,0.105,0.08,2.0,31.0,0.14,0.07,0.1,0.3,2.2,0.6,4.2,4.1,21.0,7.0,1.2,3.8,2.3,2.7,0.4,3.7,0.292551215736049
8.0,3.4,2.2,11.6,22.4,36.4,0.0,0.5,14.0,28.0,0.105,0.08,2.0,31.0,0.14,0.07,0.1,0.3,2.2,0.6,4.2,4.1,21.0,7.0,1.2,3.8,2.3,2.7,0.4,3.7,0.292551215736049
8.0,3.4,2.2,11.6,22.4,36.4,0.0,0.5,14.0,28.0,0.105,0.08,2.0,31.0,0.14,0.07,0.1,0.3,2.2,0.6,4.2,4.1,21.0,7.0,1.2,3.8,2.3,2.7,0.4,3.7,0.292551215736049
8.0,2.2,2.2,11.6,16.4,41.2,0.0,0.5,14.0,27.0,0.14,0.01,2.0,17.0,0.14,0.04,0.1,0.45,1.6,0.2,3.2,4.6,1.0,22.0,0.1,2.5,3.6,4.4,0.11,3.0,0.414193905217149
18.8,5.8,1.0,4.4,4.4,53.2,0.0,0.51,14.0,28.0,0.175,0.05,2.0,24.0,0.105,0.06,0.1,0.16,0.4,1.3,2.5,1.9,12.0,22.0,1.5,4.2,3.9,0.1,0.19,1.6,0.283900944624605
5.6,7.0,3.4,9.2,12.8,11.2,0.0,0.5,14.0,29.0,0.07,0.04,2.0,26.0,0.07,0.04,0.1,0.45,1.0,1.5,2.5,2.9,24.0,17.0,4.2,4.9,3.6,0.5,0.9,2.2,0.259411937704815
5.6,11.8,3.4,14.0,8.0,14.8,0.0,0.5,14.0,6.0,0.07,0.06,2.0,20.0,0.175,0.04,0.1,0.2,0.5,0.5,4.1,4.4,27.0,1.0,3.3,1.5,3.0,3.8,0.26,3.0,0.332478423551726
4.4,10.6,4.6,4.4,6.8,49.6,0.0,0.5,14.0,21.0,0.14,0.02,2.0,30.0,0.14,0.08,0.1,0.48,0.5,0.5,2.7,2.6,9.0,29.0,1.9,4.9,4.7,3.1,0.47,1.5,0.215796301093599
17.6,2.2,1.0,22.4,8.0,43.6,0.0,0.5,14.0,25.0,0.175,0.08,2.0,12.0,0.07,0.05,0.1,0.39,0.8,0.9,3.0,2.2,27.0,7.0,4.0,4.9,1.2,4.8,0.65,1.5,0.395098534577923
11.6,4.6,1.0,5.6,11.6,36.4,0.0,0.51,14.0,22.0,0.105,0.06,2.0,26.0,0.14,0.04,0.1,0.17,1.0,2.2,5.0,4.2,28.0,19.0,4.5,2.6,0.9,2.2,0.58,2.1,0.258289194217589
17.6,1.0,1.0,17.6,9.2,38.8,0.0,0.5,14.0,28.0,0.105,0.09,2.0,12.0,0.07,0.06,0.1,0.15,0.7,2.2,3.4,4.4,15.0,24.0,1.0,2.5,4.6,0.6,0.39,2.7,0.297701967026977
17.6,1.0,1.0,17.6,9.2,38.8,0.0,0.5,14.0,28.0,0.105,0.09,2.0,12.0,0.07,0.06,0.1,0.15,0.7,2.2,3.4,4.4,15.0,24.0,1.0,2.5,4.6,0.6,0.39,2.7,0.297701967026977
17.6,1.0,1.0,17.6,9.2,38.8,0.0,0.5,14.0,28.0,0.105,0.09,2.0,12.0,0.07,0.06,0.1,0.15,0.7,2.2,3.4,4.4,15.0,24.0,1.0,2.5,4.6,0.6,0.39,2.7,0.297701967026977
9.2,10.6,2.2,23.6,20.0,26.8,0.0,0.5,14.0,35.0,0.14,0.06,2.0,16.0,0.105,0.1,0.1,0.45,1.1,2.0,4.8,5.0,22.0,20.0,4.7,2.3,0.9,4.2,0.98,4.3,0.2665670577208849
35.6,2.2,4.6,10.4,4.4,35.2,0.0,0.5,14.0,34.0,0.14,0.06,2.0,9.0,0.105,0.07,0.1,0.43,0.4,1.1,2.6,3.6,30.0,7.0,3.9,1.7,1.5,3.1,0.1,1.0,0.51569487348506
9.2,4.6,2.2,14.0,22.4,31.6,0.0,0.51,14.0,34.0,0.105,0.09,2.0,30.0,0.14,0.01,0.1,0.2,1.1,3.4,4.5,4.7,23.0,1.0,0.7,4.7,2.1,2.2,1.08,2.4,0.324992754213204
18.8,1.0,1.0,15.2,14.0,25.6,0.0,0.5,14.0,35.0,0.105,0.08,2.0,11.0,0.175,0.09,0.1,0.27,1.1,3.8,4.8,4.8,28.0,15.0,3.1,3.8,3.1,4.9,0.34,3.6,0.3391225452441639
18.8,13.0,1.0,9.2,3.2,50.8,0.0,0.51,14.0,26.0,0.07,0.04,2.0,17.0,0.105,0.08,0.1,0.17,0.3,1.7,1.2,4.3,21.0,10.0,3.8,1.6,1.6,3.7,0.25,1.0,0.3137267631298719
20.0,3.4,1.0,20.0,5.6,28.0,0.0,0.51,14.0,29.0,0.14,0.03,2.0,20.0,0.175,0.02,0.1,0.41,0.5,0.5,2.8,2.6,5.0,6.0,4.0,4.5,2.9,1.1,0.17,2.5,0.365419786891839
20.0,3.4,1.0,20.0,5.6,28.0,0.0,0.51,14.0,29.0,0.14,0.03,2.0,20.0,0.175,0.02,0.1,0.41,0.5,0.5,2.8,2.6,5.0,6.0,4.0,4.5,2.9,1.1,0.17,2.5,0.365419786891839
20.0,3.4,1.0,20.0,5.6,28.0,0.0,0.51,14.0,29.0,0.14,0.03,2.0,20.0,0.175,0.02,0.1,0.41,0.5,0.5,2.8,2.6,5.0,6.0,4.0,4.5,2.9,1.1,0.17,2.5,0.365419786891839
9.2,1.0,9.4,3.2,10.4,44.8,0.0,0.5,14.0,26.0,0.105,0.05,2.0,22.0,0.035,0.03,0.1,0.16,1.0,1.3,1.8,3.9,4.0,23.0,0.2,0.4,2.3,2.4,0.95,1.7,0.240232263205924
3.2,1.0,5.8,9.2,9.2,34.0,0.0,0.51,14.0,23.0,0.14,0.01,2.0,10.0,0.07,0.01,0.1,0.42,0.7,2.3,4.4,4.4,2.0,30.0,4.3,0.3,3.1,0.9,0.65,3.1,0.24585254957075
21.2,3.4,1.0,3.2,6.8,20.8,0.0,0.5,14.0,24.0,0.035,0.03,2.0,28.0,0.105,0.08,0.1,0.16,0.9,0.3,2.7,4.5,7.0,21.0,4.8,3.7,3.7,3.0,0.13,2.2,0.2790629944984319
4.4,4.6,4.6,14.0,6.8,30.4,0.0,0.51,14.0,31.0,0.105,0.03,2.0,30.0,0.14,0.07,0.1,0.48,0.8,3.2,3.0,4.6,21.0,9.0,1.8,1.8,3.4,1.4,0.73,2.5,0.312864972171777
21.2,5.8,1.0,6.8,3.2,13.6,0.0,0.5,14.0,28.0,0.035,0.01,2.0,7.0,0.07,0.06,0.1,0.22,0.4,0.8,1.4,2.1,13.0,26.0,4.0,1.1,1.0,3.5,0.19,1.3,0.25929307406067
21.2,4.6,1.0,9.2,12.8,47.2,0.0,0.5,14.0,35.0,0.105,0.05,2.0,26.0,0.175,0.02,0.1,0.39,1.3,1.0,2.6,2.9,23.0,19.0,4.7,0.6,3.6,0.3,0.56,2.5,0.304384375738439
3.2,2.2,7.0,10.4,3.2,22.0,0.0,0.51,14.0,12.0,0.175,0.1,2.0,5.0,0.175,0.02,0.1,0.35,0.3,0.4,1.3,3.2,16.0,3.0,4.3,1.6,3.2,3.7,0.29,1.2,0.2778470559559269
22.4,3.4,1.0,9.2,3.2,50.8,0.0,0.51,14.0,7.0,0.105,0.01,2.0,12.0,0.105,0.03,0.1,0.25,0.2,0.3,1.8,4.5,22.0,11.0,1.4,4.1,4.2,3.0,0.19,1.0,0.503174044243301
10.4,13.0,2.2,18.8,8.0,53.2,0.0,0.51,14.0,10.0,0.105,0.03,2.0,11.0,0.14,0.06,0.1,0.3,0.7,0.6,1.6,5.0,27.0,25.0,3.3,4.0,0.9,1.3,0.49,1.0,0.466029355501181
22.4,1.0,1.0,3.2,5.6,25.6,0.0,0.5,14.0,22.0,0.175,0.1,2.0,6.0,0.175,0.02,0.1,0.21,0.6,2.4,2.9,3.6,22.0,1.0,4.3,3.7,3.1,0.3,0.53,1.9,0.255769873725199
10.4,13.0,2.2,14.0,24.8,10.0,0.0,0.5,14.0,27.0,0.105,0.08,2.0,25.0,0.07,0.05,0.1,0.5,2.8,2.7,4.4,4.3,28.0,9.0,3.8,2.2,3.4,0.7,1.33,3.7,0.448863226309217
6.8,3.4,3.4,15.2,22.4,41.2,0.0,0.5,14.0,27.0,0.14,0.1,2.0,28.0,0.175,0.04,0.1,0.36,2.5,2.5,3.6,4.5,24.0,17.0,3.3,1.8,0.1,1.5,1.63,3.3,0.36656315862672
10.4,10.6,2.2,17.6,4.4,14.8,0.0,0.51,14.0,31.0,0.07,0.04,2.0,25.0,0.14,0.02,0.1,0.22,0.3,0.8,2.0,4.1,21.0,24.0,1.8,4.8,3.5,4.9,0.28,1.1,0.351959626611137
10.4,5.8,2.2,9.2,20.0,53.2,0.0,0.5,14.0,17.0,0.07,0.05,2.0,35.0,0.175,0.07,0.1,0.5,1.0,0.9,4.6,4.5,18.0,25.0,2.2,0.2,1.4,2.3,0.88,4.4,0.201014724065063
6.8,11.8,3.4,10.4,3.2,35.2,0.0,0.5,14.0,23.0,0.14,0.05,2.0,14.0,0.14,0.07,0.1,0.4,0.4,2.8,1.6,2.5,12.0,19.0,4.0,5.0,3.6,3.8,0.12,1.2,0.374113426102577
10.4,10.6,2.2,9.2,16.4,47.2,0.0,0.5,14.0,20.0,0.175,0.08,2.0,10.0,0.105,0.03,0.1,0.09,0.7,1.7,3.6,2.7,4.0,17.0,2.9,4.5,4.9,3.4,0.32,2.1,0.26109860655112
10.4,13.0,2.2,26.0,16.4,22.0,0.0,0.5,14.0,32.0,0.175,0.08,2.0,5.0,0.07,0.04,0.1,0.21,1.6,2.2,4.0,2.3,14.0,7.0,4.0,0.4,0.9,0.6,0.41,2.0,0.511818413018644
23.6,10.6,1.0,12.8,6.8,25.6,0.0,0.5,14.0,30.0,0.105,0.08,2.0,13.0,0.035,0.03,0.1,0.23,0.7,0.9,2.8,3.4,18.0,12.0,0.8,3.9,2.9,4.7,0.44,1.5,0.325564177717059
10.4,11.8,2.2,22.4,24.8,24.4,0.0,0.5,14.0,34.0,0.175,0.03,2.0,21.0,0.035,0.02,0.1,0.43,2.6,4.3,4.9,4.4,28.0,13.0,2.4,3.4,2.7,3.9,1.55,3.1,0.577580952855737
4.4,8.2,5.8,11.6,4.4,34.0,0.0,0.5,14.0,32.0,0.175,0.04,2.0,28.0,0.07,0.05,0.1,0.46,0.4,4.0,2.4,4.2,20.0,27.0,3.5,2.3,2.1,1.9,0.24,1.0,0.448102663650939
4.4,8.2,5.8,11.6,4.4,34.0,0.0,0.5,14.0,32.0,0.175,0.04,2.0,28.0,0.07,0.05,0.1,0.46,0.4,4.0,2.4,4.2,20.0,27.0,3.5,2.3,2.1,1.9,0.24,1.0,0.448102663650939
