w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,M2
8.0,7.0,1.0,17.6,8.0,16.0,0.0,0.51,14.0,35.0,0.14,0.06,2.0,31.0,0.035,0.03,0.1,0.47,0.4,3.7,3.6,2.4,0.0,8.0,1.0,2.2,1.5,4.5,0.2,1.4,30.4600590179325
9.2,10.6,1.0,4.4,8.0,17.2,0.0,0.51,14.0,28.0,0.175,0.03,2.0,5.0,0.14,0.09,0.1,0.23,1.0,2.6,4.2,2.3,3.0,10.0,1.5,4.3,2.6,4.3,0.22,1.3,18.0315153681083
12.8,3.4,1.0,8.0,10.4,23.2,0.0,0.5,14.0,16.0,0.105,0.09,2.0,18.0,0.105,0.03,0.1,0.35,0.9,1.8,4.1,3.9,15.0,24.0,1.8,4.9,4.5,4.3,0.51,1.0,25.6811599387325
4.4,1.0,2.2,4.4,15.2,18.4,0.0,0.5,14.0,16.0,0.035,0.03,2.0,14.0,0.105,0.04,0.1,0.39,1.5,1.0,4.2,4.7,27.0,14.0,3.1,0.1,1.0,4.7,0.96,3.4,5.44026499268864
10.4,1.0,1.0,12.8,14.0,23.2,0.0,0.51,14.0,33.0,0.105,0.05,2.0,22.0,0.07,0.01,0.1,0.31,0.6,4.2,3.9,2.1,23.0,9.0,4.8,0.7,2.4,0.3,0.11,1.7,14.6010047017214
9.2,1.0,1.0,21.2,11.6,28.0,0.0,0.51,14.0,10.0,0.175,0.02,2.0,23.0,0.035,0.03,0.1,0.31,1.2,1.1,4.9,4.5,15.0,30.0,3.9,4.9,4.1,2.7,0.87,1.9,14.9784873644414
11.6,5.8,1.0,2.0,4.4,17.2,0.0,0.5,14.0,29.0,0.105,0.03,2.0,8.0,0.175,0.08,0.1,0.47,0.4,2.8,2.2,4.5,6.0,20.0,2.1,2.0,4.6,3.4,0.21,2.0,11.9551921049877
4.4,1.0,2.2,12.8,14.0,23.2,0.0,0.5,14.0,25.0,0.14,0.04,2.0,19.0,0.105,0.09,0.1,0.43,1.2,2.0,3.2,2.8,1.0,20.0,3.4,4.8,4.1,4.0,1.1,2.4,7.88375751238251
10.4,3.4,1.0,22.4,9.2,41.2,0.0,0.5,14.0,19.0,0.14,0.05,2.0,8.0,0.07,0.02,0.1,0.37,1.0,2.3,2.7,4.5,3.0,26.0,0.9,3.2,1.4,0.5,0.45,1.5,28.9999927799055
10.4,1.0,1.0,4.4,15.2,50.8,0.0,0.51,14.0,26.0,0.14,0.08,2.0,25.0,0.105,0.04,0.1,0.36,1.8,0.8,4.3,4.4,13.0,24.0,1.3,1.0,1.3,4.2,0.35,4.0,10.4004726690421
5.6,9.4,2.2,14.0,6.8,16.0,0.0,0.5,14.0,17.0,0.14,0.01,2.0,5.0,0.07,0.03,0.1,0.1,0.6,0.8,4.8,2.1,21.0,4.0,1.7,2.2,1.1,4.1,0.18,1.0,24.2989353369949
5.6,10.6,2.2,5.6,4.4,42.4,0.0,0.5,14.0,13.0,0.14,0.04,2.0,8.0,0.105,0.04,0.1,0.19,0.4,1.7,1.2,1.6,14.0,28.0,2.3,0.2,0.4,1.4,0.2,1.1,13.2933876240394
5.6,2.2,2.2,12.8,8.0,29.2,0.0,0.51,14.0,32.0,0.175,0.02,2.0,17.0,0.14,0.04,0.1,0.39,0.9,3.9,3.4,3.9,5.0,19.0,4.1,4.7,3.8,0.4,0.61,3.1,12.744128322898
5.6,13.0,2.2,8.0,6.8,53.2,0.0,0.5,14.0,14.0,0.07,0.03,2.0,32.0,0.07,0.05,0.1,0.13,0.4,1.5,1.2,4.9,23.0,12.0,4.6,1.7,1.7,3.2,0.26,1.0,17.2791856342577
12.8,8.2,1.0,9.2,8.0,22.0,0.0,0.5,14.0,25.0,0.175,0.03,2.0,11.0,0.105,0.02,0.1,0.3,0.9,1.5,4.2,3.2,5.0,10.0,2.5,0.3,3.5,1.0,0.55,1.4,37.1449644519339
14.0,11.8,1.0,8.0,5.6,12.4,0.0,0.5,14.0,14.0,0.14,0.08,2.0,22.0,0.035,0.03,0.1,0.36,0.5,0.8,2.3,2.3,17.0,13.0,2.2,0.1,0.5,2.5,0.47,1.7,43.0463607602216
4.4,4.6,3.4,3.2,14.0,5.2,0.0,0.51,14.0,35.0,0.105,0.07,2.0,22.0,0.105,0.01,0.1,0.14,1.2,4.6,3.7,5.0,7.0,9.0,3.9,4.3,2.3,1.0,0.17,1.8,7.00445067880779
14.0,9.4,1.0,16.4,4.4,14.8,0.0,0.5,14.0,19.0,0.07,0.04,2.0,18.0,0.07,0.03,0.1,0.13,0.4,1.2,1.9,2.0,13.0,9.0,4.6,4.7,0.6,3.6,0.32,1.7,60.1257864211789
15.2,3.4,1.0,20.0,8.0,31.6,0.0,0.51,14.0,30.0,0.175,0.05,2.0,5.0,0.035,0.02,0.1,0.26,0.9,4.0,4.6,2.7,9.0,17.0,1.0,2.8,4.3,3.2,0.5,1.8,40.5496449825869
15.2,3.4,1.0,20.0,8.0,31.6,0.0,0.51,14.0,30.0,0.175,0.05,2.0,5.0,0.035,0.02,0.1,0.26,0.9,4.0,4.6,2.7,9.0,17.0,1.0,2.8,4.3,3.2,0.5,1.8,40.5496449825869
15.2,3.4,1.0,20.0,8.0,31.6,0.0,0.51,14.0,30.0,0.175,0.05,2.0,5.0,0.035,0.02,0.1,0.26,0.9,4.0,4.6,2.7,9.0,17.0,1.0,2.8,4.3,3.2,0.5,1.8,40.5496449825869
4.4,4.6,3.4,10.4,11.6,23.2,0.0,0.51,14.0,34.0,0.14,0.08,2.0,9.0,0.175,0.07,0.1,0.47,1.4,1.0,4.0,3.3,28.0,8.0,3.3,3.8,3.6,3.5,0.65,2.8,13.3641860919266
6.8,4.6,2.2,8.0,18.8,10.0,0.0,0.5,14.0,29.0,0.105,0.06,2.0,24.0,0.14,0.05,0.1,0.26,1.4,3.7,3.8,3.4,15.0,29.0,4.4,1.8,3.8,4.6,1.11,3.0,16.8169295158936
6.8,13.0,2.2,10.4,10.4,14.8,0.0,0.51,14.0,34.0,0.14,0.03,2.0,32.0,0.105,0.07,0.1,0.44,0.6,0.7,3.0,3.9,1.0,21.0,0.8,4.6,3.5,2.5,0.34,1.9,26.5501421313788
6.8,13.0,2.2,24.8,8.0,42.4,0.0,0.5,14.0,21.0,0.105,0.06,2.0,27.0,0.105,0.01,0.1,0.41,0.6,2.7,2.6,2.1,29.0,25.0,0.4,3.1,4.3,1.8,0.39,1.7,39.7459012518275
15.2,13.0,1.0,8.0,5.6,25.6,0.0,0.5,14.0,18.0,0.105,0.09,2.0,29.0,0.175,0.07,0.1,0.45,0.5,2.2,2.2,3.7,25.0,7.0,4.2,3.3,3.3,1.2,0.31,1.8,45.7106731552441
15.2,8.2,1.0,18.8,4.4,48.4,0.0,0.5,14.0,23.0,0.105,0.1,2.0,11.0,0.035,0.03,0.1,0.2,0.5,0.8,3.1,2.1,20.0,9.0,1.0,4.3,1.4,4.1,0.25,1.1,60.9947604382622
6.8,9.4,2.2,15.2,14.0,29.2,0.0,0.5,14.0,32.0,0.175,0.04,2.0,23.0,0.175,0.04,0.1,0.47,1.4,3.5,4.2,4.7,9.0,11.0,1.2,1.6,1.2,2.7,0.15,3.9,27.9414910942467
4.4,3.4,3.4,16.4,4.4,29.2,0.0,0.51,14.0,18.0,0.07,0.04,2.0,31.0,0.07,0.02,0.1,0.28,0.2,1.7,2.3,4.5,16.0,27.0,0.4,1.3,4.8,0.5,0.11,1.6,13.982180002066
6.8,3.4,2.2,17.6,6.8,30.4,0.0,0.51,14.0,18.0,0.14,0.1,2.0,32.0,0.07,0.05,0.1,0.38,0.8,0.9,2.1,3.1,20.0,18.0,2.5,0.5,0.7,2.5,0.38,1.3,21.5228828456583
4.4,1.0,3.4,10.4,5.6,10.0,0.0,0.5,14.0,28.0,0.105,0.03,2.0,26.0,0.07,0.07,0.1,0.43,0.5,0.9,1.6,4.6,12.0,27.0,1.0,3.0,1.8,4.8,0.13,1.4,7.08251653687825
15.2,1.0,1.0,22.4,6.8,35.2,0.0,0.5,14.0,24.0,0.14,0.07,2.0,27.0,0.14,0.04,0.1,0.37,0.3,2.2,5.0,3.5,13.0,11.0,3.4,2.6,4.1,1.8,0.15,1.0,22.2450804799069
6.8,2.2,2.2,21.2,6.8,48.4,0.0,0.51,14.0,34.0,0.105,0.09,2.0,27.0,0.035,0.01,0.1,0.48,0.8,2.4,2.8,3.9,6.0,8.0,1.4,3.0,3.9,1.7,0.17,2.2,17.104766694219
6.8,2.2,2.2,18.8,14.0,36.4,0.0,0.51,14.0,23.0,0.14,0.08,2.0,17.0,0.105,0.06,0.1,0.43,0.8,2.8,3.8,3.8,16.0,17.0,1.5,1.7,2.3,2.4,0.28,3.2,17.0555195086393
16.4,11.8,1.0,5.6,6.8,20.8,0.0,0.5,14.0,21.0,0.035,0.03,2.0,20.0,0.07,0.05,0.1,0.49,0.8,0.8,4.8,3.5,30.0,28.0,0.6,1.8,1.4,3.8,0.12,1.1,37.6133171212783
16.4,2.2,1.0,11.6,5.6,13.6,0.0,0.51,14.0,12.0,0.175,0.02,2.0,6.0,0.105,0.09,0.1,0.34,0.6,0.7,2.9,4.6,21.0,20.0,1.5,2.1,4.4,1.3,0.31,1.2,33.420881855974
3.2,5.8,5.8,6.8,4.4,16.0,0.0,0.51,14.0,26.0,0.175,0.09,2.0,32.0,0.14,0.1,0.1,0.42,0.5,2.5,2.3,4.1,24.0,21.0,1.0,4.0,0.9,2.3,0.25,1.8,9.06325257586998
8.0,5.8,2.2,23.6,18.8,28.0,0.0,0.51,14.0,5.0,0.175,0.04,2.0,12.0,0.14,0.04,0.1,0.2,1.1,0.3,4.8,4.7,7.0,25.0,1.4,1.8,0.1,0.4,0.21,3.0,31.7661526550934
3.2,2.2,5.8,9.2,4.4,35.2,0.0,0.51,14.0,33.0,0.175,0.04,2.0,9.0,0.105,0.05,0.1,0.37,0.3,1.5,2.1,2.8,0.0,19.0,1.5,0.5,3.0,0.3,0.11,1.2,7.25386475062018
8.0,10.6,2.2,12.8,8.0,40.0,0.0,0.5,14.0,14.0,0.105,0.07,2.0,26.0,0.175,0.09,0.1,0.4,0.7,1.0,3.3,3.9,6.0,20.0,3.3,1.0,1.1,2.1,0.39,1.2,31.8722013832203
18.8,5.8,1.0,11.6,8.0,26.8,0.0,0.51,14.0,34.0,0.175,0.07,2.0,7.0,0.14,0.06,0.1,0.48,0.4,3.3,4.0,2.7,14.0,19.0,3.2,2.1,4.4,2.3,0.18,1.9,53.5954992744808
8.0,8.2,2.2,18.8,17.6,26.8,0.0,0.51,14.0,30.0,0.14,0.05,2.0,33.0,0.14,0.09,0.1,0.16,1.9,3.1,3.7,4.9,10.0,30.0,1.8,0.8,1.3,2.0,0.26,2.5,32.8321137756221
8.0,8.2,2.2,18.8,17.6,26.8,0.0,0.51,14.0,30.0,0.14,0.05,2.0,33.0,0.14,0.09,0.1,0.16,1.9,3.1,3.7,4.9,10.0,30.0,1.8,0.8,1.3,2.0,0.26,2.5,32.8321137756221
8.0,8.2,2.2,18.8,17.6,26.8,0.0,0.51,14.0,30.0,0.14,0.05,2.0,33.0,0.14,0.09,0.1,0.16,1.9,3.1,3.7,4.9,10.0,30.0,1.8,0.8,1.3,2.0,0.26,2.5,32.8321137756221
8.0,2.2,2.2,16.4,8.0,30.4,0.0,0.51,14.0,21.0,0.14,0.09,2.0,11.0,0.105,0.09,0.1,0.32,0.7,2.2,3.1,2.6,10.0,17.0,2.1,0.3,3.9,3.7,0.17,1.5,19.3575983867086
5.6,1.0,3.4,5.6,8.0,12.4,0.0,0.51,14.0,8.0,0.175,0.1,2.0,28.0,0.035,0.02,0.1,0.23,0.6,0.8,4.8,4.0,10.0,19.0,4.7,4.5,1.1,3.8,0.14,2.0,7.04391978293067
17.6,4.6,1.0,8.0,9.2,22.0,0.0,0.5,14.0,31.0,0.175,0.1,2.0,34.0,0.105,0.06,0.1,0.17,1.1,1.8,4.4,4.9,30.0,18.0,2.7,1.8,2.6,3.4,0.49,2.6,38.900192463087
17.6,4.6,1.0,8.0,9.2,22.0,0.0,0.5,14.0,31.0,0.175,0.1,2.0,34.0,0.105,0.06,0.1,0.17,1.1,1.8,4.4,4.9,30.0,18.0,2.7,1.8,2.6,3.4,0.49,2.6,38.900192463087
17.6,4.6,1.0,8.0,9.2,22.0,0.0,0.5,14.0,31.0,0.175,0.1,2.0,34.0,0.105,0.06,0.1,0.17,1.1,1.8,4.4,4.9,30.0,18.0,2.7,1.8,2.6,3.4,0.49,2.6,38.900192463087
18.8,2.2,1.0,17.6,4.4,35.2,0.0,0.51,14.0,29.0,0.14,0.08,2.0,30.0,0.175,0.06,0.1,0.49,0.3,3.7,2.8,2.3,8.0,13.0,2.3,3.3,3.5,0.9,0.19,1.2,39.3058778103477
17.6,2.2,1.0,14.0,10.4,36.4,0.0,0.5,14.0,7.0,0.07,0.02,2.0,5.0,0.14,0.03,0.1,0.3,0.6,0.3,2.5,2.9,16.0,1.0,2.4,3.6,0.9,4.6,0.2,1.8,34.892022689256
8.0,8.2,2.2,22.4,5.6,13.6,0.0,0.51,14.0,15.0,0.175,0.09,2.0,17.0,0.14,0.08,0.1,0.29,0.7,1.4,3.0,3.6,10.0,8.0,3.6,4.2,0.6,3.1,0.34,2.2,42.1089193109128
8.0,3.4,2.2,11.6,22.4,36.4,0.0,0.5,14.0,28.0,0.105,0.08,2.0,31.0,0.14,0.07,0.1,0.3,2.2,0.6,4.2,4.1,21.0,7.0,1.2,3.8,2.3,2.7,0.4,3.7,19.2056849568065
8.0,3.4,2.2,11.6,22.4,36.4,0.0,0.5,14.0,28.0,0.105,0.08,2.0,31.0,0.14,0.07,0.1,0.3,2.2,0.6,4.2,4.1,21.0,7.0,1.2,3.8,2.3,2.7,0.4,3.7,19.2056849568065
8.0,3.4,2.2,11.6,22.4,36.4,0.0,0.5,14.0,28.0,0.105,0.08,2.0,31.0,0.14,0.07,0.1,0.3,2.2,0.6,4.2,4.1,21.0,7.0,1.2,3.8,2.3,2.7,0.4,3.7,19.2056849568065
8.0,2.2,2.2,11.6,16.4,41.2,0.0,0.5,14.0,27.0,0.14,0.01,2.0,17.0,0.14,0.04,0.1,0.45,1.6,0.2,3.2,4.6,1.0,22.0,0.1,2.5,3.6,4.4,0.11,3.0,16.3730138887149
18.8,5.8,1.0,4.4,4.4,53.2,0.0,0.51,14.0,28.0,0.175,0.05,2.0,24.0,0.105,0.06,0.1,0.16,0.4,1.3,2.5,1.9,12.0,22.0,1.5,4.2,3.9,0.1,0.19,1.6,29.8818801467497
5.6,7.0,3.4,9.2,12.8,11.2,0.0,0.5,14.0,29.0,0.07,0.04,2.0,26.0,0.07,0.04,0.1,0.45,1.0,1.5,2.5,2.9,24.0,17.0,4.2,4.9,3.6,0.5,0.9,2.2,18.4765546847849
5.6,11.8,3.4,14.0,8.0,14.8,0.0,0.5,14.0,6.0,0.07,0.06,2.0,20.0,0.175,0.04,0.1,0.2,0.5,0.5,4.1,4.4,27.0,1.0,3.3,1.5,3.0,3.8,0.26,3.0,26.5828221026022
4.4,10.6,4.6,4.4,6.8,49.6,0.0,0.5,14.0,21.0,0.14,0.02,2.0,30.0,0.14,0.08,0.1,0.48,0.5,0.5,2.7,2.6,9.0,29.0,1.9,4.9,4.7,3.1,0.47,1.5,8.85279446808026
17.6,2.2,1.0,22.4,8.0,43.6,0.0,0.5,14.0,25.0,0.175,0.08,2.0,12.0,0.07,0.05,0.1,0.39,0.8,0.9,3.0,2.2,27.0,7.0,4.0,4.9,1.2,4.8,0.65,1.5,39.3203148693669
11.6,4.6,1.0,5.6,11.6,36.4,0.0,0.51,14.0,22.0,0.105,0.06,2.0,26.0,0.14,0.04,0.1,0.17,1.0,2.2,5.0,4.2,28.0,19.0,4.5,2.6,0.9,2.2,0.58,2.1,20.5728668203509
17.6,1.0,1.0,17.6,9.2,38.8,0.0,0.5,14.0,28.0,0.105,0.09,2.0,12.0,0.07,0.06,0.1,0.15,0.7,2.2,3.4,4.4,15.0,24.0,1.0,2.5,4.6,0.6,0.39,2.7,24.5623687144286
17.6,1.0,1.0,17.6,9.2,38.8,0.0,0.5,14.0,28.0,0.105,0.09,2.0,12.0,0.07,0.06,0.1,0.15,0.7,2.2,3.4,4.4,15.0,24.0,1.0,2.5,4.6,0.6,0.39,2.7,24.5623687144286
17.6,1.0,1.0,17.6,9.2,38.8,0.0,0.5,14.0,28.0,0.105,0.09,2.0,12.0,0.07,0.06,0.1,0.15,0.7,2.2,3.4,4.4,15.0,24.0,1.0,2.5,4.6,0.6,0.39,2.7,24.5623687144286
9.2,10.6,2.2,23.6,20.0,26.8,0.0,0.5,14.0,35.0,0.14,0.06,2.0,16.0,0.105,0.1,0.1,0.45,1.1,2.0,4.8,5.0,22.0,20.0,4.7,2.3,0.9,4.2,0.98,4.3,44.0551343374804
35.6,2.2,4.6,10.4,4.4,35.2,0.0,0.5,14.0,34.0,0.14,0.06,2.0,9.0,0.105,0.07,0.1,0.43,0.4,1.1,2.6,3.6,30.0,7.0,3.9,1.7,1.5,3.1,0.1,1.0,66.6585274888578
9.2,4.6,2.2,14.0,22.4,31.6,0.0,0.51,14.0,34.0,0.105,0.09,2.0,30.0,0.14,0.01,0.1,0.2,1.1,3.4,4.5,4.7,23.0,1.0,0.7,4.7,2.1,2.2,1.08,2.4,26.6918458107617
18.8,1.0,1.0,15.2,14.0,25.6,0.0,0.5,14.0,35.0,0.105,0.08,2.0,11.0,0.175,0.09,0.1,0.27,1.1,3.8,4.8,4.8,28.0,15.0,3.1,3.8,3.1,4.9,0.34,3.6,24.9663651346621
18.8,13.0,1.0,9.2,3.2,50.8,0.0,0.51,14.0,26.0,0.07,0.04,2.0,17.0,0.105,0.08,0.1,0.17,0.3,1.7,1.2,4.3,21.0,10.0,3.8,1.6,1.6,3.7,0.25,1.0,59.9786681947292
20.0,3.4,1.0,20.0,5.6,28.0,0.0,0.51,14.0,29.0,0.14,0.03,2.0,20.0,0.175,0.02,0.1,0.41,0.5,0.5,2.8,2.6,5.0,6.0,4.0,4.5,2.9,1.1,0.17,2.5,54.9288064462901
20.0,3.4,1.0,20.0,5.6,28.0,0.0,0.51,14.0,29.0,0.14,0.03,2.0,20.0,0.175,0.02,0.1,0.41,0.5,0.5,2.8,2.6,5.0,6.0,4.0,4.5,2.9,1.1,0.17,2.5,54.9288064462901
20.0,3.4,1.0,20.0,5.6,28.0,0.0,0.51,14.0,29.0,0.14,0.03,2.0,20.0,0.175,0.02,0.1,0.41,0.5,0.5,2.8,2.6,5.0,6.0,4.0,4.5,2.9,1.1,0.17,2.5,54.9288064462901
9.2,1.0,9.4,3.2,10.4,44.8,0.0,0.5,14.0,26.0,0.105,0.05,2.0,22.0,0.035,0.03,0.1,0.16,1.0,1.3,1.8,3.9,4.0,23.0,0.2,0.4,2.3,2.4,0.95,1.7,8.65949790901286
3.2,1.0,5.8,9.2,9.2,34.0,0.0,0.51,14.0,23.0,0.14,0.01,2.0,10.0,0.07,0.01,0.1,0.42,0.7,2.3,4.4,4.4,2.0,30.0,4.3,0.3,3.1,0.9,0.65,3.1,5.75882583525998
21.2,3.4,1.0,3.2,6.8,20.8,0.0,0.5,14.0,24.0,0.035,0.03,2.0,28.0,0.105,0.08,0.1,0.16,0.9,0.3,2.7,4.5,7.0,21.0,4.8,3.7,3.7,3.0,0.13,2.2,25.5435292537641
4.4,4.6,4.6,14.0,6.8,30.4,0.0,0.51,14.0,31.0,0.105,0.03,2.0,30.0,0.14,0.07,0.1,0.48,0.8,3.2,3.0,4.6,21.0,9.0,1.8,1.8,3.4,1.4,0.73,2.5,15.3758098916334
21.2,5.8,1.0,6.8,3.2,13.6,0.0,0.5,14.0,28.0,0.035,0.01,2.0,7.0,0.07,0.06,0.1,0.22,0.4,0.8,1.4,2.1,13.0,26.0,4.0,1.1,1.0,3.5,0.19,1.3,49.4120215000428
21.2,4.6,1.0,9.2,12.8,47.2,0.0,0.5,14.0,35.0,0.105,0.05,2.0,26.0,0.175,0.02,0.1,0.39,1.3,1.0,2.6,2.9,23.0,19.0,4.7,0.6,3.6,0.3,0.56,2.5,45.9677273195113
3.2,2.2,7.0,10.4,3.2,22.0,0.0,0.51,14.0,12.0,0.175,0.1,2.0,5.0,0.175,0.02,0.1,0.35,0.3,0.4,1.3,3.2,16.0,3.0,4.3,1.6,3.2,3.7,0.29,1.2,7.68848489397276
22.4,3.4,1.0,9.2,3.2,50.8,0.0,0.51,14.0,7.0,0.105,0.01,2.0,12.0,0.105,0.03,0.1,0.25,0.2,0.3,1.8,4.5,22.0,11.0,1.4,4.1,4.2,3.0,0.19,1.0,45.3308997183198
10.4,13.0,2.2,18.8,8.0,53.2,0.0,0.51,14.0,10.0,0.105,0.03,2.0,11.0,0.14,0.06,0.1,0.3,0.7,0.6,1.6,5.0,27.0,25.0,3.3,4.0,0.9,1.3,0.49,1.0,51.573927586835
22.4,1.0,1.0,3.2,5.6,25.6,0.0,0.5,14.0,22.0,0.175,0.1,2.0,6.0,0.175,0.02,0.1,0.21,0.6,2.4,2.9,3.6,22.0,1.0,4.3,3.7,3.1,0.3,0.53,1.9,18.9252450872355
10.4,13.0,2.2,14.0,24.8,10.0,0.0,0.5,14.0,27.0,0.105,0.08,2.0,25.0,0.07,0.05,0.1,0.5,2.8,2.7,4.4,4.3,28.0,9.0,3.8,2.2,3.4,0.7,1.33,3.7,40.5035180616475
6.8,3.4,3.4,15.2,22.4,41.2,0.0,0.5,14.0,27.0,0.14,0.1,2.0,28.0,0.175,0.04,0.1,0.36,2.5,2.5,3.6,4.5,24.0,17.0,3.3,1.8,0.1,1.5,1.63,3.3,19.1140198879413
10.4,10.6,2.2,17.6,4.4,14.8,0.0,0.51,14.0,31.0,0.07,0.04,2.0,25.0,0.14,0.02,0.1,0.22,0.3,0.8,2.0,4.1,21.0,24.0,1.8,4.8,3.5,4.9,0.28,1.1,53.194838318357
10.4,5.8,2.2,9.2,20.0,53.2,0.0,0.5,14.0,17.0,0.07,0.05,2.0,35.0,0.175,0.07,0.1,0.5,1.0,0.9,4.6,4.5,18.0,25.0,2.2,0.2,1.4,2.3,0.88,4.4,26.2236626155997
6.8,11.8,3.4,10.4,3.2,35.2,0.0,0.5,14.0,23.0,0.14,0.05,2.0,14.0,0.14,0.07,0.1,0.4,0.4,2.8,1.6,2.5,12.0,19.0,4.0,5.0,3.6,3.8,0.12,1.2,26.5477635734741
10.4,10.6,2.2,9.2,16.4,47.2,0.0,0.5,14.0,20.0,0.175,0.08,2.0,10.0,0.105,0.03,0.1,0.09,0.7,1.7,3.6,2.7,4.0,17.0,2.9,4.5,4.9,3.4,0.32,2.1,31.0287682506107
10.4,13.0,2.2,26.0,16.4,22.0,0.0,0.5,14.0,32.0,0.175,0.08,2.0,5.0,0.07,0.04,0.1,0.21,1.6,2.2,4.0,2.3,14.0,7.0,4.0,0.4,0.9,0.6,0.41,2.0,56.8702416939893
23.6,10.6,1.0,12.8,6.8,25.6,0.0,0.5,14.0,30.0,0.105,0.08,2.0,13.0,0.035,0.03,0.1,0.23,0.7,0.9,2.8,3.4,18.0,12.0,0.8,3.9,2.9,4.7,0.44,1.5,85.8149839170249
10.4,11.8,2.2,22.4,24.8,24.4,0.0,0.5,14.0,34.0,0.175,0.03,2.0,21.0,0.035,0.02,0.1,0.43,2.6,4.3,4.9,4.4,28.0,13.0,2.4,3.4,2.7,3.9,1.55,3.1,47.6115801886548
4.4,8.2,5.8,11.6,4.4,34.0,0.0,0.5,14.0,32.0,0.175,0.04,2.0,28.0,0.07,0.05,0.1,0.46,0.4,4.0,2.4,4.2,20.0,27.0,3.5,2.3,2.1,1.9,0.24,1.0,17.6465556815109
4.4,8.2,5.8,11.6,4.4,34.0,0.0,0.5,14.0,32.0,0.175,0.04,2.0,28.0,0.07,0.05,0.1,0.46,0.4,4.0,2.4,4.2,20.0,27.0,3.5,2.3,2.1,1.9,0.24,1.0,17.6465556815109
